committee_id,advertising
C00646398,8952.54
C00096412,31779.09
C00648014,45350
C00649632,18332.5
C00656686,5058474.61
C00637660,7176.6
C00558486,29822.51
C00648741,19666.32
C00639054,797114.4
C00412890,286635.1
C00670224,300
C00671081,16272.15
C00657981,29836.7
C00575167,949549.5
C00462861,1590.26
C00660464,2868.64
C00661637,323498.8
C00557520,138825.38
C00671206,7132.54
C00669671,10635.42
C00581090,181436.98
C00640110,26922.72
C00390476,3163444
C00654723,210637.28
C00675017,6174.75
C00666362,1305.2
C00676726,32935.1
C00662528,831280.36
C00543231,24742.34
C00639773,295588.95
C00546358,39980
C00494583,98001.69
C00461806,17224.36
C00649533,21719.26
C00667808,8000
C00673533,335071.64
C00494930,71149
C00668228,1125419.48
C00647081,227553.74
C00649350,3027315.71
C00667964,9829.61
C00649806,772.91
C00666404,74214.8
C00602920,1082.79
C00495952,11652.18
C00495846,189700
C00648162,160241.15
C00512236,3689
C00652289,3427.73
C00664417,182462.47
C00646745,4376756.13
C00557652,33456.76
C00634014,13488.23
C00639732,6421.4000000000005
C00646828,3966.54
C00652594,9903.02
C00665638,1712942.63
C00496760,284284.87
C00666396,51701.21
C00581074,47377.89
C00497115,5405
C00497396,341048.68
C00497818,728115.07
C00497933,1301.2800000000002
C00498667,300
C00498121,15040.62
C00498345,2820.43
C00498873,720
C00499236,1367320.15
C00499467,6015.25
C00499947,173047.14
C00669630,8667.95
C00582890,22573.83
C00653675,15200
C00502294,105840.89
C00501254,340.87
C00501924,21599.24
C00519645,10
C00503094,122605.62000000001
C00503110,34698.840000000004
C00503185,204992.17
C00504019,17625.63
C00503052,10700
C00546853,301601.18
C00505776,1212448.28
C00506048,29176.24
C00506931,51396.74
C00639559,2107.7
C00647677,79352.47
C00545616,31043.440000000002
C00637728,738.94
C00638262,188.57
C00647008,80726.11
C00647446,11444.61
C00658625,310037.67
C00336388,879505.43
C00608703,440396.64999999997
C00366948,5138.76
C00649061,2344.17
C00554113,8132.71
C00648998,29103.89
C00588657,64123.93
C00616573,2691.53
C00599514,20
C00640839,1133174.14
C00649004,514942.75
C00580282,600
C00641605,750
C00639146,5507147.17
C00654350,5313.0599999999995
C00635847,418.2
C00602706,11472.64
C00512202,390824.3
C00551374,18771.88
C00636571,3856235.24
C00433524,63774.05
C00625152,2201.91
C00588871,4836
C00614305,14147.97
C00641027,1915.84
C00663914,17516.07
C00651539,14423.1
C00615260,2530
C00656173,2421.11
C00592956,8413.81
C00647859,200.07999999999998
C00659078,26315.01
C00654921,2033.74
C00550707,930643.43
C00648287,14331.53
C00633172,1243.25
C00630798,2665.91
C00527457,1415
C00392688,29594.68
C00637777,175588.99
C00649954,16769.58
C00238865,15864.84
C00413096,3584.28
C00653253,668.07
C00655340,7444.64
C00640227,104.2
C00393041,17587.8
C00653949,10223.91
C00649038,111925.11
C00258855,83662.59
C00257956,4375.15
C00647099,53357.04
C00636480,4498.52
C00477240,4276.06
C00647537,303321.66
C00656736,4294.67
C00661173,110553.37
C00653196,2075236.49
C00649087,223453.57
C00499053,21782.3
C00665513,55331.25
C00654400,2929236.62
C00636670,32174.65
C00554014,1636307.79
C00545749,147115.78
C00654434,32443.95
C00650697,9351.51
C00648725,473857.2
C00364935,1571.82
C00468579,1474883.22
C00636696,23741.86
C00638080,38703.95
C00663351,16398.57
C00647727,486933.74
C00541888,20362.72
C00457556,5458.8
C00634873,7084.17
C00383828,8306
C00661595,92865.47
C00662551,94192.54000000001
C00546499,4412.92
C00659920,21442.41
C00640763,30198.45
C00638825,2648.1
C00651653,5486.04
C00655332,184015.32
C00662817,10544.79
C00663435,25500
C00652404,54747.5
C00653840,613.39
C00646901,17500
C00371203,232113.86
C00660522,837
C00661355,16302.69
C00286187,28319.36
C00343236,62912.05
C00662932,1003.43
C00554261,3031720.05
C00640045,4506
C00311043,180089.7
C00411660,365
C00420935,960315.87
C00629659,51474.47
C00612796,4475.37
C00655118,219.99
C00639187,14047
C00662544,77038.44
C00660878,828.72
C00654699,381.67
C00639872,20474.8
C00667097,9699387.48
C00658708,1050285.3
C00669358,607891.07
C00673681,10567
C00545673,38349.61
C00509299,914
C00661900,19374.4
C00665802,73000
C00658021,12252.25
C00655191,15323.65
C00444620,494822.32
C00659201,1856.06
C00647743,531.28
C00664821,160924.45
C00650457,59581.840000000004
C00582635,1892
C00665711,1025056.66
C00462374,28760.55
C00657155,349100.38
C00661686,1554.04
C00636951,53090
