"","committee_id","total","advertise","poll","research","fundraise","pay","materials","consulting","event","mail","travel","smedia","radio","television","website","newspaper"
"1","C00002238",3037.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","C00002592",2150.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","C00003418",1468.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,803.16,NA,NA,NA,NA,NA
"4","C00004275",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","C00007880",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C00012229",1421339.38,963687.57,NA,52275,203193.94,143354.41,NA,64610.3,NA,15562.03,85520.57,27058.82,139034.9,309610,1018.09,4286.42
"7","C00013128",137241.24,NA,NA,NA,NA,NA,NA,NA,NA,36.63,NA,NA,NA,NA,NA,NA
"8","C00024752",2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","C00025379",151049.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","C00027359",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","C00028860",177140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","C00034132",40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","C00034785",32.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","C00039552",9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","C00048371",183930.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","C00064774",5450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","C00068353",8955.83,NA,NA,NA,NA,3341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","C00076182",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","C00083428",542333.7,305,NA,NA,56729.75,6904.46,NA,76000,3854.01,76152,9572.03,NA,305,NA,1749.6,NA
"20","C00095109",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","C00096156",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","C00096412",1653404.94,35085.89,NA,1072.65,14298.85,220727.45,1000,58043.15,27797.12,86938.74,9655.47,NA,2448,NA,3300,858.8
"23","C00100107",2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","C00101105",17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","C00104752",4225,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
"26","C00116632",1113718.86,44000,NA,NA,111134.88,400,NA,263412.69,1348.27,62433.6,NA,NA,NA,NA,NA,NA
"27","C00140715",4883015.14,35000,283.09,NA,306645.43,415220.9,NA,257580,62216.19,23549.1,261829.07,NA,NA,NA,31200,NA
"28","C00143230",520.52,NA,NA,NA,NA,520.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","C00145862",17150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","C00153684",156570.58,NA,NA,NA,NA,NA,NA,NA,NA,167.35,NA,NA,NA,NA,NA,NA
"31","C00154625",749783.64,NA,NA,195.34,185445.79,NA,86.12,8825,8821.16,8758.77,1618.59,NA,NA,NA,6200,NA
"32","C00155796",4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","C00155952",2824.47,NA,NA,NA,NA,2824.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","C00156612",258314.76,NA,NA,NA,28835.31,1142.9,NA,29075.31,16945,2391,3189.87,NA,NA,NA,3765.17,NA
"35","C00165241",722.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","C00166504",1122295.28,95454.86,31760,NA,154903,140873.31,NA,198798.64,30231.71,105684.23,13829.76,NA,NA,534.96,380.8,5039
"37","C00167585",1519352.74,55557.15,NA,NA,145057.75,NA,NA,NA,69585.29,531231.7,445.6,NA,40200,NA,15750,11489
"38","C00172619",536602.85,7086,NA,NA,73533.7,NA,463.05,57609.35,4017.41,26741.19,NA,NA,4178,NA,75,NA
"39","C00178418",60459.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","C00190637",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","C00193342",12697.26,NA,NA,NA,1407.6,NA,NA,1407.6,1299.1,NA,3200,NA,NA,NA,NA,NA
"42","C00194803",157776.8,NA,NA,NA,5360.2,NA,NA,NA,1909.21,1147,NA,NA,NA,NA,NA,NA
"43","C00195065",1096921.02,5831,NA,NA,171734.08,293107.51,NA,13000,11985.18,961.32,324.53,NA,1628,NA,2670.99,NA
"44","C00195628",1125907.27,63461.58,23200,NA,72000,333944.18,NA,NA,37857.17,64676.85,4498.64,NA,12482.07,NA,21600,NA
"45","C00196725",13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C00196915",121121.18,NA,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA
"47","C00197160",915709.55,650,NA,NA,107609.02,NA,NA,188634.02,12825.64,8845.64,NA,NA,NA,NA,4012.02,NA
