committee_id,consulting
C00657635,189473.12
C00652792,131882.46
C00096412,58043.15
C00669689,2000
C00656686,128301.31999999999
C00648014,96921.11
C00653675,858216.4
C00648741,11552
C00637660,25000
C00498873,658050.94
C00558486,577987.41
C00464032,416744.61
C00664730,2240
C00639054,247420.8
C00313510,198493.03
C00412890,102258
C00640961,319767.64
C00648956,48767.06
C00657981,183834.81
C00575167,417726.55
C00395467,1200
C00462861,277594.1
C00660464,13988.49
C00637397,432319.27
C00519355,239875.43
C00226928,224433
C00661637,131904.22
C00669069,37574.51
C00444224,2500
C00557520,261767.86000000002
C00656579,52489.5
C00671206,73928.51
C00581090,68773.65
C00390476,275904
C00660472,140266.85
C00433136,83549.88
C00558320,565857.58
C00654723,362092.74
C00610212,555716.05
C00657676,248661.04
C00684324,1933.31
C00666362,6000
C00676726,9459
C00665331,194542.97
C00393629,587050.91
C00580415,932509.63
C00305052,349092.25
C00494096,1500
C00662528,45425
C00670547,389313.68
C00649194,144276.52
C00546358,105815.21
C00639773,100497.4
C00494583,183592.53
C00494856,153923
C00667808,2000
C00460261,199624.51
C00494930,267592.93
C00664540,0
C00673533,159404.93
C00668228,183356.1
C00672436,2550
C00649350,494425.28
C00512426,311215.34
C00667964,110525.55
C00666404,6374
C00582890,255517.41
C00495846,118623
C00648816,344816.47000000003
C00495952,414976.99
C00661629,54135.9
C00481911,120411.21
C00590489,198603.17
C00664417,192544.85
C00469163,350390.47
C00665802,31279.93
C00668285,4377.67
C00610451,105787.43
C00652594,214720.27
C00666396,306942.17
C00582304,498339.17
C00496760,269963.17
C00581074,543258.45
C00648519,35104
C00497115,900116.45
C00497321,210732.6
C00497396,183357.83
C00497818,272500.58
C00647081,388173.17
C00671347,26000
C00497933,304575.51
C00498345,134345.61
C00498667,309653.75
C00498121,462543.9
C00512202,179281.46
C00557652,161718.37
C00653634,829884.15
C00420935,939252.4
C00473272,353386.39
C00655191,79930.22
C00499236,778464.84
C00499392,472242.15
C00499467,329702.23
C00499053,92501.57
C00652446,8500
C00665513,196352.29
C00629287,713743.0599999999
C00494203,125520.26
C00546846,1028783.81
C00500207,354035.29
C00500421,181681.11
C00657445,90549.63
C00502179,307583.24
C00502294,540492.18
C00665638,282246.32
C00501643,459458.83
C00501924,5400
C00502039,262830.87
C00503094,132718.53
C00503110,135285.71
C00503185,41250
C00504019,209646.2
C00504522,949194.26
C00502575,1303803.85
C00502773,212654.97
C00503052,308861.45
C00665836,63469.3
C00639690,132516.41
C00505776,667562.15
C00506048,188115.65
C00506832,411238.52
C00506931,304368.5
C00646745,347699.16
C00649038,69092.75
C00476523,239735.88
C00669358,231616.21
C00575282,5754.14
C00641027,11303.04
C00646489,13864.53
C00647339,315939.62
C00637728,11291.04
C00659078,150
C00653626,8387.5
C00507368,128911.05
C00637967,54033.27
C00655837,8500
C00637918,401887.87
C00640268,345342.06
C00366948,146000.43
C00554014,312152.2
C00646828,424.4
C00589234,412432.77
C00401190,30420
C00588657,239339.07
C00663914,421856.32
C00629949,168420.67
C00646570,150504.96
C00539866,329748.24
C00640839,353335.59
C00445023,628631.78
C00632141,239552.41
C00392688,758572.1900000001
C00668913,5950
C00647594,202981.13
C00637777,57000
C00634337,7500
C00410639,20000
C00649004,126536.76
C00638783,32600
C00639906,3300
C00299404,437504
C00649632,54143.05
C00639146,171469.51
C00639963,41879.75
C00468256,276442.87
C00420745,103949.46
C00614057,15865.53
C00463836,22848.85
C00655340,22500
C00615294,234289.81
C00595694,50854.75
C00654350,40630.24
C00548941,76607.03
C00658575,999.98
C00647677,245553.86
C00554709,170857.28
C00653360,4517.5
C00433524,550989.4
C00410233,86250
C00636951,102044.32
C00551374,272495.79
C00649533,54951.43
C00636571,620057.77
C00659839,73731.2
C00509422,174596.49
C00656363,4500
C00311639,439742.81
C00602854,563.75
C00649657,38193.85
C00653162,67515.35
C00397737,82820.21
C00614305,28258.010000000002
C00629618,37
C00588871,37934.88
C00638775,39174.86
C00611780,1479
C00630749,8820
C00646521,4599
C00662494,28114.75
C00572602,69692
C00545616,537626.45
C00548131,78119.08
C00422980,56000
C00655035,12750
C00597005,8067.5
C00658260,1048.89
C00662536,9800
C00641548,13029.98
C00330894,540904.86
C00590182,2083.45
C00639559,279429
C00554113,286549.36
C00650077,164157.6
C00554972,14389.189999999999
C00379974,2400
C00649749,31461.27
C00605659,9000
C00554261,679580.32
C00622829,10580
C00648162,4815
C00652362,9650
C00657791,12032.56
C00527457,285675.61
C00638023,95943.94
C00650408,184366.88
C00662932,12625
C00012229,64610.3
C00639799,52323.13
C00652586,46847
C00250720,70751.5
C00468413,74190.06999999999
C00659748,550
C00641605,50307.46
C00651356,2338.71
C00655803,3000
C00656397,8578.5
C00656447,24835.11
C00240986,111223.81
C00359034,62340
C00635847,925
C00651299,3200
C00637058,23481.02
C00304709,203493.67
C00269837,67794.09
C00615302,9500
C00258475,447435
C00257956,297939.23
C00658419,69641.97
C00652073,344139.75
C00655068,17216.27
C00374231,101980.49
C00345546,400944.75
C00651224,97450.03
C00477240,102918.3
C00649665,2000
C00647016,53093.9
C00350520,255542.08
C00435974,239314.87
C00461061,307923.79
C00664953,54352.83
C00657098,256303.73
C00331769,113771.44
C00654442,76896.8
C00633362,1109073.3
C00661173,135527.7
C00479063,340271.33
C00657650,232703.21
C00514265,16240.9
C00660381,475986.1
C00653196,3398518.98
C00656769,81075
C00656736,45694.4
C00472159,231616.42
C00558437,224381.45
C00545749,817478.27
C00259143,51279.54
C00656744,96795.88
C00457556,414377.75
C00641191,806420.22
C00650911,257519.55
C00652065,144681.05
C00649087,320505.86
C00311043,693509.62
C00658385,746193.38
C00636670,258742.48
C00632257,981288.22
C00637876,30561.49
C00514893,403621.44
C00650804,72546.02
C00659318,124387.07
C00637868,402309.76
C00655332,194943.33
C00662213,181385.46
C00637272,256562.18
C00476564,330774.6
C00652297,4980038.93
C00648253,176066.82
C00200584,460597.9
C00541888,309900
C00364935,266863.67
C00654400,675113.98
C00414318,152000
C00636696,91031.11
C00472704,360982.23
C00509729,129157.01
C00468579,916000.31
C00640714,463568.26
C00434191,332498.54
C00467571,427972.39
C00368522,504596.16
C00638650,261383.81
C00545467,817154.03
C00652628,183992.79
C00650515,236879.15
C00650234,214853.37
C00639286,162553.05
C00661579,13175.869999999999
C00636720,2650
C00652404,7000
C00660118,369896.52
C00663815,1000
C00649129,40675
C00640953,38185.83
C00660522,89228.37
C00663161,305457.09
C00633867,968935.57
C00660274,142262.13
C00646471,120725.44
C00671370,12102.98
C00673988,400
C00646901,312678.38
C00546499,386291.94
C00659920,59208.5
C00371203,486268.73
C00343236,569425.16
C00658336,138045.84
C00464339,426058.65
C00647693,30500
C00654509,313124.41
C00547240,607162.8
C00647669,74478.64
C00661223,134024.4
C00437913,752193.07
C00652388,83951.72
C00651851,251976.26
C00664581,4500
C00509968,215611.46
C00651331,417545.73
C00649491,87642.36
C00640763,223240
C00553859,301504.39
C00661595,59675.5
C00663435,10000
C00655480,15491.82
C00546853,263042.19
C00661355,13467.21
C00651307,32000
C00663104,34500
C00634873,42482.99
C00650473,32248.68
C00632943,59548
C00648998,31198
C00578567,139227.06
C00662767,443215.58
C00659565,26690
C00650507,500377.95
C00662643,11515.63
C00663005,47326.28
C00658724,49611.05
C00657411,704049.72
C00575209,243857.39
C00545673,278388.32
C00629659,330514.27
C00649186,52210.5
C00607556,381993.23
C00640045,196632.45
