committee_id,dmail
C00637660,2974.35
C00412890,81222.43
C00657981,6085
C00462861,18205.18
C00519355,29022
C00661637,17500
C00669069,114125.91
C00669671,59901.18
C00390476,384808
C00656686,101512.5
C00654723,168084.6
C00580415,142176.29
C00393629,204013.04
C00494930,259748
C00666404,29263.18
C00648816,104259.69
C00481911,58999.94
C00548180,205756.22
C00664417,76821.2
C00653675,85755.85
C00666396,244838.2
C00502039,53411.69
C00503110,13423.56
C00503185,150483.69
C00504019,175662.16
C00502773,16637.09
C00505776,1087995.53
C00506048,14977.55
C00607416,50374.74
C00550707,80362.04
C00608703,511990.22
C00589234,108825.58
C00654350,279.21
C00588871,2162.64
C00653162,1846.4
C00659318,73533.87
C00472704,120819.88
C00410969,418478.39
C00545749,219431.97
C00661595,324067.48
C00635045,5905.46
C00663864,11311.17
C00638825,21168.98
C00647669,32509.66
C00663161,59566.97
C00661835,36994.95
C00660118,140238.5
C00629659,71773.99
C00639187,296375.83
C00554261,173174.86
C00374058,4038.6299999999997
C00667097,1447735.97
C00551275,42802.6
C00650523,169063.06
C00672824,20592.079999999998
C00633362,225019
C00675157,145836.56
C00666529,57158.92
C00669358,49148.43
C00662080,21165.66
C00347492,98104.2
C00420745,64297.55
C00657189,49979.95
C00651026,13632.54
C00510164,67095.16
C00670646,6513.51
C00582296,17910.88
C00648527,23047.2
C00650648,1530157.94
C00546846,32800
C00607838,142244.35
C00649400,2642
C00511568,30709.559999999998
C00652149,88401.11
C00512202,363473.93
C00512236,407988.42
C00543967,68387.86
C00509968,5000
C00674671,9200
C00373563,106534.25
C00577353,355225.73
C00561597,80927.17
C00658286,314989.46
C00660134,75865.42
C00652628,148148.46
C00662650,85724.72
C00498345,208363.11
C00654640,15664.42
C00656751,252143.63
C00660183,4431.96
C00641381,129559.23999999999
C00464602,204025.69
C00667758,69518.16
C00668137,5418.01
C00650531,12168.05
C00658583,55107.79
C00575092,2730
C00671412,64968.049999999996
C00655571,22072.37
C00521948,23151.54
C00633867,25530.93
C00477240,863.45
C00655043,60183.55
C00673343,174288.04
C00575050,67917.73
C00677096,131433.57
C00670935,42344
C00433391,26064.18
C00662213,29435.18
C00662874,10000
C00675108,24085.32
C00641498,313720.27
C00200584,65531.38
C00670679,63292.56
C00468579,27309.93
C00662619,64497.06
C00632067,131403.03
C00166504,73420.2
C00311043,213930.85
C00498121,116890.59
C00639526,126329.9
C00516666,21197.13
C00663591,26917.98
C00629287,109444.14
C00662668,18091.72
C00590778,155700
C00116632,61495.35
C00636779,8817.06
C00588764,80745.25
C00285171,103546.12
C00657098,4531.65
C00638510,1848168.79
C00444968,258744.98
C00540617,263984.05
C00435974,373925.84
C00664599,168374.26
C00459099,4981.37
C00083428,75121.8
C00422410,443360.08
C00639419,13.56
C00472241,123204.65
C00632828,132057.56
C00497818,82429.73
C00654848,21202.78
C00656223,890
C00655175,6290.25
C00662544,135974.32
C00662601,17540
C00543363,89161
C00559393,2178.21
C00385773,78600
C00647537,1344084.08
C00518654,257166.63
C00590489,10185
C00650697,121329.92
C00648220,47801.899999999994
C00662973,18520.2
C00459297,123370.63
C00543926,32771
C00545467,240116.30000000002
C00545616,5092.34
C00556365,35737.51
C00656371,57510.26
C00571869,127517.49
C00575209,116938.75
C00576041,18886.58
C00651646,57543.16
C00647693,2072.84
C00653196,1395368.33
C00658997,48764.32
C00462143,68711.32
C00658625,245409.57
C00679241,17395
C00600718,49189.02
C00656744,36955.28
C00467522,113880.19
C00665885,38936.41
C00651158,137721
C00638650,20616.95
C00680553,54013.55
C00384057,51920.96
