committee_id,fundraiser
C00657676,1000
C00684324,6771.2699999999995
C00580415,79137.99
C00664060,12000
C00012229,201319.79
C00460261,4878.81
C00464149,10715.86
C00496760,40083.59
C00536680,24978.46
C00499392,16446.84
C00499947,37914.37
C00503052,354.7
C00172619,3687.24
C00630491,377.9
C00657551,29959.5
C00665125,1657.04
C00653691,1327.62
C00346080,16804
C00640227,513.17
C00509422,9308.19
C00649038,4148.9800000000005
C00665638,24207.760000000002
C00652289,600
C00557652,48818.32
C00632885,965.72
C00625152,1000
C00653824,24.48
C00331397,265490.74
C00527457,46135.32
C00343871,10459.880000000001
C00285171,145243.88
C00266940,172839.71
C00637413,832.1800000000001
C00578302,9263.15
C00648741,277.87
C00195065,115362.24
C00637876,200
C00637272,2949.64
C00167585,145017.75
C00344671,13938.550000000001
C00648162,3920
C00666438,250
C00665034,7585.540000000001
C00369686,20141.79
C00257121,14526.27
C00572560,12777.16
C00655134,2846.29
C00646455,6516.32
C00482307,33053.87
C00675959,2633.21
C00414318,508.4
C00670034,1435.58
C00651653,4564.8
C00608430,3248.49
C00509968,300
C00680462,3587.77
C00673871,1496.52
C00667386,866.4399999999999
C00649392,535.27
C00415182,1589.75
C00477323,105336.22
C00678656,965.61
C00666420,2098.82
C00667279,250
C00665729,5477.09
C00592469,3715.55
C00635722,36510.840000000004
C00662080,2762.3199999999997
C00654640,295.52
C00649707,1577.83
C00675900,1582.81
C00621920,1230.05
C00665463,577
C00664763,21729.03
C00648675,400
C00466516,35404.6
C00552588,59265.9
C00405431,35184.14
C00655084,1124.78
C00649236,48284.92
C00668137,4360.21
C00641001,5127.6
C00464602,11089.44
C00674663,385
C00290064,54546.7
C00662940,682.29
C00630434,2328.19
C00662650,9849.09
C00662981,12253.7
C00650507,397.79
C00553859,6002.8
C00520379,500
C00639419,1158.95
C00502229,15121.79
C00506832,10293.25
C00253187,14504.93
C00631572,800
C00637660,3164.49
C00459461,8693.4
C00614826,1778.66
C00254185,30983.39
C00636571,7283.18
C00083428,8688.94
C00543363,42969.81
C00458976,146361.89
C00594168,1526.29
C00555219,1900
C00386532,12275.34
C00650523,200
C00637991,1325.07
C00650655,3245
C00652271,200
C00154625,10520.57
C00454694,160652.05
C00637546,2700
C00629659,15822.6
C00581074,5309.8
C00633057,310
C00659615,3422.9900000000002
C00661025,2500
C00662551,147.91
C00573980,136065.22
C00647693,550
C00647099,746.5699999999999
C00630798,512.14
C00303305,49636.25
C00648683,556.75
