committee_id,fundraising
C00648014,67021.11
C00656686,60377.2
C00498873,175919.6
C00558486,269961.32
C00464032,510759.63
C00639054,84781.56999999999
C00313510,205387.79
C00412890,203227.22
C00648956,44064.74
C00640961,40074.9
C00671081,4128.36
C00575167,329506.33
C00395467,61644.82
C00462861,287214.16
C00660464,10378.49
C00637397,73121.61
C00519355,208936.93
C00226928,106535.77
C00669069,80976.16
C00444224,249751.61000000002
C00557520,199259.64
C00581090,68966
C00640110,878.6700000000001
C00390476,986486
C00660472,49489.97
C00558320,361516.11
C00610212,484987.2
C00657676,148055.37
C00676726,4203.92
C00393629,564877.82
C00580415,516773.29
C00662528,25650
C00543231,166230.72
C00546358,97415.21
C00494583,118096.99
C00494856,191784.4
C00461806,170071.93
C00668285,5097.31
C00460261,123940.89
C00494930,87764.96
C00673533,16910.7
C00672436,2550
C00668228,34000
C00649350,53314.29
C00473272,458571.14
C00512426,101333
C00667964,19805.97
C00495846,439654.74
C00602920,294.95
C00582890,113334.53
C00648816,76303.77
C00495952,232958.28
C00464149,164664.83000000002
C00661629,10487.25
C00481911,123388.38
C00648162,19285.02
C00590489,161285.6
C00469163,258798.68
C00652594,90681.41
C00666396,77440.01
C00496760,129964.84
C00582304,184152.35
C00581074,178889.76
C00497115,303852.64
C00497321,148719.39
C00497396,42103.51
C00509422,249448.77
C00497818,134500
C00497933,296665
C00498345,143976.17
C00498121,376921.4
C00652446,4117.3099999999995
C00512202,62133.5
C00557652,94180.34
C00498667,84641
C00665836,52197.19
C00639690,23738.45
C00655191,44285.1
C00499236,652309.56
C00499392,468376.57
C00499467,159717.23
C00499053,75782.29
C00665513,187570.84
C00494203,94526.08
C00500207,251922.69
C00500421,112666.11
C00502179,258918.24
C00502229,128788.01
C00502294,265390.08
C00501643,174246.15
C00502039,159833.82
C00657445,15033.12
C00503094,123092.02
C00503110,161550.47
C00503185,41620.19
C00504019,129485.2
C00504522,454716.98
C00502575,318904.92
C00502773,96610.94
C00503052,358204.25
C00663914,446632.86
C00546853,597846.21
C00546846,698392.26
C00505776,303359.38
C00506048,133943.03
C00629287,406265.85
C00506832,241573.15
C00506931,255090.28
C00646745,91850.55
C00194803,4860.2
C00638775,5946.6
C00391029,247937.12
C00383828,520560.17
C00647339,133946.54
C00507368,192775.51
C00608703,890956.23
C00637967,61484.56
C00640268,124353.63
C00344671,120188.2
C00589234,312513.61
C00637918,12000
C00640839,205015.41999999998
C00445023,440528.12
C00665125,37.39
C00392688,369830.39
C00647594,83422.75
C00667733,554.74
C00649004,27148.16
C00641605,18117.64
C00299404,192579.8
C00639963,21451.47
C00654350,16296.96
C00637058,40344.79
C00420745,71825.36
C00346080,313537
C00615294,144719.03
C00640227,1500
C00258475,383598.29
C00649038,7103.31
C00410233,86250
C00578302,141156.57
C00632885,25900
C00433524,185416.23
C00636951,50982.25
C00554709,160017.83
C00476523,119032.03
C00647677,52227.14
C00311639,292568.59
C00649657,12506.76
C00614305,9349.14
C00588871,3272.9
C00545616,208148.5
C00422980,103820.46
C00572602,548
C00655035,2750
C00597005,413
C00654921,22684.3
C00269340,157897.96
C00641548,12529.98
C00401190,135339.63
C00330894,156544.1
C00639559,16129
C00588657,193709.69
C00554113,212799.36000000002
C00649749,12000
C00646570,22836.1
C00527457,158700.81
C00650408,38447.27
C00410639,35631.83
C00634337,445
C00468413,67672.76
C00610451,142414.32
C00374058,125695.52
C00650838,2250
C00240986,106847.68
C00656447,9490.19
C00359034,295076.65
C00304709,130882.5
C00313247,116696.16
C00257956,150943.88
C00333427,720880.02
C00258855,647034.22
C00374231,222182.29
C00312017,202376.65
C00634543,51222.58
C00477240,107973.23
C00350520,309069.62
C00461061,105477.89
C00657098,102955.04
C00331769,243406.47
C00649483,49310.56
C00435974,180712.53
C00661173,92361.37
C00479063,138831.93
C00660381,55683.18
C00656736,9000
C00472159,169181
C00608695,303006.41
C00558437,212656.45
C00656744,41400
C00457556,424998.03
C00649087,40290
C00311043,467135.3
C00658385,166296.57
C00545749,403827.38
C00476564,364817.09
C00649962,10500
C00652065,50981.729999999996
C00648253,32.5
C00652297,76141.62
C00514893,168290
C00637868,233247.74
C00414318,96355.23
C00472704,219717.13
C00636670,38520.83
C00641191,47029.34
C00434191,138000
C00640714,93767.86
C00551275,290639.8
C00368522,375680.17
C00638650,62368.27
C00650697,153930
C00650515,91997.46
C00660118,52013.93
C00652628,166654.33
C00663161,46382.21
C00386532,211731.78
C00371203,277104.59
C00650234,74353.38
C00546499,285063.26
C00464339,194072.97
C00647693,22500
C00650077,15000
C00437913,268741.26
C00578567,174138.53
C00655480,15491.82
C00637876,7340
C00639286,13150
C00650473,8500
C00547240,107826.38
C00637892,52701.5
C00640763,28000
C00658336,6421.24
C00662817,26859.38
C00650507,56332.7
C00662601,107751.12
C00545673,247057.4
C00607556,119724.59
C00575209,62274.33
C00303305,685216.56
C00226522,400213.76
C00653923,44281.15
C00647875,99498.9
C00473132,158437.2
C00215905,137409.19
C00651315,20971.15
C00662544,2915.37
C00654699,42.76
C00660753,10500
C00548180,264654.17
C00512236,308989.26
C00420935,409074
C00665638,127292.12
C00572560,11119.23
C00662338,8772.97
C00638536,19962.8
C00656603,7500
C00641431,54359.17
C00647727,126402.82
C00271312,226246.86
C00665711,35721
C00539866,329305.33
C00554899,285436.44
C00649376,72820.77
C00599464,200344.33
C00475145,71260.55
C00543967,223605.48
C00666529,27794.18
C00607416,255293.78
C00667840,23291.84
C00386847,103840.37
C00633362,769741.3200000001
C00658328,41609.33
C00657304,47091.25
C00630426,4658406.9
C00664821,14692.5
C00662825,18500
C00558627,192075.44
C00661686,750
C00680439,143121.78
C00412759,128331.33
C00651026,78904.61
C00543892,113969.04
C00673681,12923.03
C00675876,20994.4
C00460055,87544.2
C00612432,121223.13
C00671446,1266.88
C00638510,109207.05
C00646455,47085.42
C00658708,139863.38999999998
C00632257,386145.72
C00675488,244500
C00462697,44991
C00482307,380353.89
C00637827,7698.23
C00410761,93110.58
C00667832,11599.880000000001
C00667519,28557.5
C00590778,117777.31999999999
C00462556,536053.82
C00639807,79092.8
C00459461,283186.48
C00650648,40834
C00676841,13500
C00666735,2457.91
C00673467,650
C00652693,50397.479999999996
C00510164,250470.54
C00648170,354.36
C00418293,126092.57
C00663542,11000
C00466870,211320.41
C00482737,170376.35
C00424713,51806.15
C00654723,9340.51
C00257121,89025.88
C00373563,74240.41
C00678557,190.16
C00678425,16700
C00660597,32411.42
C00666842,37176.479999999996
C00672956,31692
C00678326,25316.19
C00574640,177639.28
C00660837,52000
C00576173,203417.41
C00670034,40943.63
C00670935,14000
C00636571,105758.75
C00655647,67500
C00582296,43023.82
C00553859,244930.54
C00660555,47488.97
C00671891,79722.61
C00372532,241955.04
C00308742,80544.75
C00460063,375070.38
C00326363,422053.32
C00649400,122674.92
C00607838,329924.26
C00639872,11350
C00635797,2497.8
C00510958,91812.31
C00652149,131959.35
C00511568,8512
C00654624,56.24
C00658591,912.6
C00671263,500
C00444471,84146.12
C00688424,82600
C00592659,77519.69
C00684514,264587.46
C00685479,49655.69
C00685222,48118.56
C00509968,89017.13
C00460550,181531.95
C00673632,4500
C00634923,1715.02
C00607937,3020
C00633669,11145.87
C00661595,5500
C00650994,9391.58
C00631945,395986.06
C00649194,43745
C00678656,250
C00655233,38744.46
C00655860,31510
C00661892,2823.08
C00370650,115924.5
C00592048,209685.3
C00614776,187838.93
C00467522,281483.41
C00528182,71238.18
C00660795,95848.46
C00655910,37750
C00669671,5301
C00561597,176256.16
C00667329,42751.63
C00345546,78405
C00648907,27644.7
C00668129,4710.9
C00559393,257961.81
C00672345,458.89
C00678391,11220
C00651604,750
C00641415,48670.21
C00667576,2830
C00637389,19860
C00667386,364.51
C00673327,2000
C00658286,5315
C00652743,53369.45
C00664516,2000
C00510461,370394.49
C00637926,5.6
C00397505,155255
C00638205,1190.7
C00659516,1865.73
C00650242,24379.8
C00631127,340.12
C00662650,303591.06
C00558510,125943.58
C00676627,7000
C00666420,74
C00672972,15290.119999999999
C00669978,4283.75
C00649418,28276.7
C00640896,3020.4100000000003
C00662940,21780.42
C00663971,649.63
C00666164,22589.66
