committee_id,materials
C00657635,143849.19
C00646398,7523.02
C00670224,437.89
C00648741,8696.91
C00519355,12688.17
C00640110,13409.35
C00648162,585
C00638353,1363.1399999999999
C00498667,17079.78
C00502575,17159.21
C00581058,1135.15
C00506832,2747
C00637223,11778.81
C00659078,32223.29
C00647677,19572.38
C00653162,5090
C00647008,1776.36
C00635847,69.55
C00653584,12393.66
C00657650,137522.61
C00641191,40348.21
C00652297,161378.43
C00638650,3614.86
C00650473,2612.54
C00639286,103073.81
C00651331,15907.98
C00652628,18743.899999999998
C00652388,24551.79
C00651307,2467.3999999999996
C00651547,53.77
C00650234,13558.23
C00662452,81.46
C00658336,4346.53
C00509968,10174.81
C00636621,6541.08
C00650077,3885.42
C00638825,7200.79
C00640763,110010.28
C00371203,36630.94
C00633867,9433.699999999999
C00640045,177364.5
C00650176,23238.23
C00612796,3697.77
C00660464,1926.86
C00651133,1268.57
C00654699,438.74
C00638346,3115.7000000000003
C00672634,2706
C00653592,1946.98
C00393041,12926.45
C00654376,26.74
C00641175,5458.94
C00680918,52.35
C00576926,5221.56
C00663351,6794.39
C00638536,1824.3
C00671446,4720.02
C00671123,1904.99
C00637827,15090.75
C00646455,2348.37
C00657122,224.65
C00649640,493.31
C00653428,233.18
C00654855,21912.84
C00664490,1500
C00673384,2400
C00650655,32750
C00660837,229480.65
C00303305,833.1
C00504019,983.88
C00633669,2385.32
C00659797,1309.74
C00663070,17600.989999999998
C00345546,4527.9
C00672071,281
C00636860,843.81
C00640896,3855.87
C00662684,566.45
C00653576,3141.82
C00664862,1029.33
C00602995,1135.7
C00660217,14286.86
C00676528,436.99
C00496760,6814.89
C00632059,11440.04
C00650531,3323.83
C00668137,463.95
C00632067,2032.87
C00641035,6347
C00672162,1742.66
C00665109,4879.76
C00460063,1889.36
C00613497,18735.36
C00650507,30407.81
C00666743,12257.97
C00200584,20843.96
C00647131,3237.67
C00673236,1455
C00652958,2631.21
C00660431,4517.22
C00513077,79689.23
C00639419,3314.28
C00661769,21927.899999999998
C00665588,1701.48
C00479063,1631.74
C00647925,303735.09
C00637660,303.96
C00575092,1007.98
C00653634,323.87
C00650358,10712.27
C00658310,7187.46
C00649947,1399.3100000000002
C00658567,41569.77
C00658328,48628.55
C00652214,543.15
C00649863,5837.62
C00632448,7591.6500000000005
C00662841,445.11
C00654178,4317.5
C00658922,1664.28
C00652404,17785.35
C00658641,3650
C00640722,1075.91
C00647164,35634.76
C00639773,19549.76
C00650689,24270.329999999998
C00652776,4723.8
C00597724,5069.37
C00637918,4371.27
C00647016,1147.32
C00634709,27998.45
C00657494,348.2
C00661025,2785
C00653741,89.31
C00649558,21766.59
C00667998,12135.95
C00655837,565.25
C00461061,3921.91
C00664813,3100
C00659318,4627.41
