committee_id,newspaper
C00657981,2120
C00575167,4675
C00660464,1999.2
C00557520,11750
C00390476,30308
C00649194,1970
C00655811,1268.33
C00498345,913.46
C00502229,5515.69
C00671784,3500
C00648741,830
C00655837,777.8299999999999
C00654632,5625
C00653253,270.91
C00647081,25126.4
C00636860,255.64000000000001
C00226522,10417.92
C00581058,13363.32
C00576926,2250
C00657122,364
C00675611,70.19
C00592279,1322.4
C00412759,12355
C00652149,2693.51
C00680462,10487.5
C00666941,1238.58
C00559393,2595
C00668129,250
C00254185,3492.7000000000003
C00561597,712
C00521948,973.42
C00442921,2736.9
C00649392,347
C00682690,572.82
C00547240,83.16
C00582296,3948.29
C00649897,38.94
C00655647,4865.13
C00654640,1506.42
C00634139,425
C00670059,5709.25
C00666594,1684
C00459297,702
C00561530,8702
C00655720,725
C00665893,550
C00462697,1282.17
C00637660,660
C00657676,1297
C00279851,2800
C00666735,645
C00673350,1252.96
C00667675,2424
C00670703,1106.5
C00444471,14005.28
C00497321,6155.4000000000005
C00391029,5685
C00012229,4286.42
C00551374,5756.5
C00671156,39.96
C00651620,9.440000000000001
C00608430,7794
C00655795,14808.8
C00258475,1445.2
C00580415,1247.45
C00166504,5039
C00597724,160
C00662460,2377.5
C00671545,240.55
C00651539,540.32
C00669176,769.8
C00647222,348.95
C00663310,7356.92
C00654079,700
C00672931,300
C00290825,35
C00656579,3425.44
C00257956,1050
C00575050,315.45
C00648675,3125.26
C00658401,8010.139999999999
C00662551,400
C00659110,3142.5
C00286187,35059.7
C00552547,7573.83
C00580316,60.9
C00609495,300
C00269837,8800
C00405431,599.4
C00631572,15000
C00631945,13140
C00630186,900
C00554113,1914.75
C00554261,975.82
C00633511,262.5
C00631564,10000
C00632067,1973.2
C00633172,325
C00629659,1567.5
C00641381,1259.6399999999999
C00637074,54
C00637546,3200
C00639971,1200
C00664540,175
C00647446,744
C00650671,130
C00657361,1708.6399999999999
C00671701,1008.78
C00578302,1620
C00670463,7.4
C00647958,235
C00654558,173.28
C00608901,1149
C00679779,2927.3
C00661348,427.32
C00649236,600
C00653220,2021.12
C00640763,336
C00258855,51874.11
C00506832,3000
C00667519,4000
C00651331,58.9
C00668137,1500
C00614214,647.9
C00678656,2
C00671420,2978.62
C00496760,2556
C00672360,1575
C00546846,99.95
C00312017,220
C00673533,1382.57
C00253187,77541.16
C00553859,18061.65
C00632059,2700
C00287912,18554.9
C00658583,2279
C00333427,56985.85
C00634543,1200
C00658419,2704
C00670364,2917.51
C00552810,2473.65
C00590067,570
C00676734,628.3
C00640938,549
C00657619,893.2
C00659235,3232.7
C00386748,5285
C00445023,32475.84
C00669507,1575
C00647008,1296.8400000000001
C00666107,2500
C00551275,18661.15
C00651885,1460
C00543926,112535.57
C00593525,500
C00666453,521.8
C00461822,4621
C00266940,2400.65
C00167585,11489
C00660977,4011.12
C00215905,150
C00438697,1080
C00464032,197.1
C00646745,9
C00576173,2111.96
C00655704,7448.7
C00672154,409
C00673111,987.75
C00669234,1
C00655332,10.65
C00647099,535.5
C00675801,245
C00229104,125
C00254573,750
C00287904,17940
C00669580,900
C00390724,203
C00662809,1800
C00675587,8650
C00422980,400
C00654988,1730.7
C00461806,1585
C00659755,458
C00464602,10136
C00477323,5349.75
C00667436,717
C00678060,228
C00660472,598.25
C00669531,4523.11
C00648774,15.8
C00612697,4980.42
C00650622,2745
C00541862,35156.35
C00657692,1190.8600000000001
C00681791,600
C00667543,500
C00507368,1255
C00607200,600
C00648055,325
C00200584,1601.4
C00445452,900
C00638023,300
C00441014,24217.46
C00659227,300
C00646489,300
C00680934,2057
C00376087,300
C00096412,858.8
C00463836,510.78
C00633982,960
C00637876,725
C00647560,1000
C00670760,250
C00680306,816.9300000000001
C00669143,206.45
