committee_id,payroll
C00639773,218419.53
C00657635,362176.53
C00654509,1232946.67
C00661173,216985.54
C00096412,220727.45
C00648014,84829.22
C00660753,22066.76
C00498873,127704.7
C00464032,517115.36
C00662528,327750.7
C00639054,270873.34
C00648741,13326.96
C00648956,133535.02
C00657981,11907.39
C00575167,383950.59
C00395467,39955.82
C00462861,370104.2
C00656686,325401.91
C00660464,69261.4
C00226928,102253.7
C00669069,194834.93
C00444224,282830.56
C00557520,307997.86
C00581090,1833.95
C00640045,502090.4
C00640110,3128.42
C00660472,166368.81
C00649327,302307.63
C00676726,14089.980000000001
C00580415,81571.23
C00393629,46839.2
C00670547,157877.79
C00494203,38385.979999999996
C00649632,13383.21
C00543231,3189.71
C00494583,18671.52
C00494856,93798.4
C00548180,65108.770000000004
C00665638,342164.9
C00652446,81917.86
C00673533,110809.98
C00494930,103305.16
C00668228,83557.41
C00649350,642145.59
C00420935,529838.29
C00653840,12387.24
C00512426,337311.33
C00666404,52302.09
C00495846,479479.77
C00602920,48223.21
C00238865,285543.77
C00582890,713658.77
C00590489,82138.18000000001
C00495952,517222.6
C00481911,9576.07
C00200865,485933.17
C00664417,74330.53
C00469163,159587.87
C00652594,211634.31
C00670463,6535.26
C00497818,79997.84
C00647081,12536.8
C00441352,1439167.37
C00497933,2116.41
C00498345,72512.94
C00498667,272606.64
C00499236,9518.16
C00499947,71035.44
C00499467,99723.56
C00499053,115318.68
C00649863,281297.61
C00500207,20755.31
C00500421,154831.52
C00541888,19908.98
C00502179,54748.62
C00502575,746408.08
C00502294,106572.78
C00501254,6246.07
C00502039,10940.46
C00549188,15858.22
C00503110,95470.76
C00503185,55644.09
C00504019,18862.65
C00504522,6911.76
C00502773,23921.39
C00546853,78659.34
C00506048,11932.28
C00433136,89730.31999999999
C00641027,71553.89
C00638999,36673.3
C00366948,1997.15
C00557181,16285.72
C00639559,148660.41
C00410639,594141.03
C00639146,157079.84
C00386847,97498.02
C00468256,45245.71
C00636951,64995.93
C00410233,233331.81
C00665828,8416.59
C00673350,162712.75
C00591065,532977.98
C00647339,146000.84
C00383828,168443.07
C00419978,2828.42
C00641548,41819.17
C00637967,445236.36
C00648949,229437.01
C00638023,457862.44
C00647024,402048.56
C00637918,437245.24
C00012229,143354.41
C00616573,1500
C00649749,115182.5
C00555888,100336.49
C00646570,95386.55
C00392688,93416.05
C00431502,428.40000000000003
C00285171,96925.04
C00648774,116093.73
C00545616,664.86
C00641605,118206.54
C00266940,152379.2
C00299404,6435.91
C00433391,13925.86
C00655340,4043.84
C00548941,205
C00304709,48590.78
C00595694,5998.67
C00259143,98251.45
C00636571,182250.21
C00331496,27613.04
C00397737,159297.34
C00614305,38500
C00637728,15225
C00654921,52794.71
C00444620,424799.78
C00330894,198333.77
C00650077,166983.41
C00554261,412258.43
C00527457,188661.27
C00629949,53366.4
C00467571,394300.96
C00359034,1820
C00311639,1576.03
C00257956,16823.73
C00464339,80609.18
C00658245,56691.42
C00637363,444316.95
C00658195,16789.14
C00658419,294423.28
C00345546,255639.53
C00653584,33856.09
C00652719,497778.93
C00636480,49220.91
C00312017,329010.68
C00652073,2577.6600000000003
C00649020,34399.82
C00657213,231489.68
C00633362,65816.87
C00654442,115105.49
C00653196,1614874.45
C00461061,676328.48
C00649483,396024.42
C00331769,222611.97
C00636324,193280.48
C00649368,56896.87
C00656736,91005.93000000001
C00657650,275350.52
C00638767,564.05
C00658492,255043.22
C00368522,561700.03
C00656744,100082.98
C00200584,344609.07
C00648725,527191.3
C00472159,58719.36
C00657445,11661.54
C00654434,5108.57
C00649962,83657.98
C00654400,100542.47
C00650911,369414.75
C00638650,463840.55
C00636670,275311.42
C00639278,50637.32
C00637868,570171.95
C00652297,972468.54
C00637371,577344.39
C00414318,179148.79
C00651158,167922.35
C00462523,952.3100000000001
C00641191,845295.05
C00659318,273694.36
C00650804,154743.85
C00445452,235488.16999999998
C00648253,281539.96
C00637272,313645
C00636845,307834.85000000003
C00472704,28114.09
C00394957,46986.21
C00476564,88000.65
C00646646,124633.06999999999
C00640714,632555.5
C00514893,51293.66
C00410969,44696.94
C00649087,193476.08
C00652065,360629.1
C00397505,62054.479999999996
C00665711,62550.96
C00311043,789010.96
C00652388,124715.01
C00647669,138009.2
C00636860,30172.56
C00651851,259408.88999999998
C00547240,1985470.79
C00633867,556015.25
C00650234,262654.63
C00652628,287478.37
C00650515,162118.93
C00649129,21894.24
C00650473,112923.15
C00646745,903728.84
C00546499,27769.309999999998
C00640763,447096.18
C00636738,480752.17
C00509968,304590.26
C00661595,94250.86
C00651307,21822.600000000002
C00658724,462350.13
C00651331,378663.31
C00637892,291786.25
C00652248,397097.1
C00646844,118516.5
C00639286,108489.24
C00498121,44218.5
C00371203,179695.68
C00661835,11247.85
C00648998,41822.21
C00658336,322549.64
C00634873,59219.63
C00286187,163242.61
C00651315,108522.9
C00646752,945582.41
C00575209,914879.87
C00639526,165872.45
C00545467,447419.63
C00653923,265777.46
C00662544,51478.04
C00411660,25130.88
C00303305,157466
C00639187,47101.01
C00650150,787486.24
C00671867,21300
C00607416,160285.25
C00637223,55840.15
C00344671,10216.39
C00650408,388371.93
C00641175,99987.56999999999
C00667097,808782.23
C00650457,272006.34
C00657437,93694.82
C00551275,212484.17
C00647727,149695.02
C00543843,29868.55
C00638536,3000.33
C00657155,11686.69
C00649285,31773.969999999998
C00654855,222822.54
C00649376,398587.7
C00651646,102381.67
C00657304,217116.23
C00576926,7117.04
C00670844,36391.75
C00661777,145276.71
C00466870,120049.23
C00658922,197799.41
C00658328,254036.16
C00662395,119543.42
C00373563,260342.55000000002
C00521948,49203.5
C00213611,1241.29
C00632828,44240.74
C00560847,43709.64
C00650523,131037.84
C00637827,262398.69
C00460899,8052.95
C00410761,79797.01000000001
C00666735,260900.64
C00650648,159980.22
C00651471,206066.12
C00675678,36765.32
C00462556,28198.35
C00482307,166290.35
C00590778,124457.96
C00412759,220263.57
C00444968,24331.09
C00651026,3967.72
C00676502,4219.11
C00638510,147616.01
C00554899,24007.78
C00539866,7575
C00670034,263089.23
C00660050,169509.87
C00670935,24885.8
C00617761,32609.86
C00649491,51627.77
C00655647,183574.51
C00660597,57152.79
C00660837,367937.96
C00639427,218741.8
C00575126,43152.07
C00666842,32890.33
C00667378,6608.45
C00661413,750
C00327023,38753.22
C00460063,14373.8
C00649400,14981.63
C00372532,179399.45
C00308742,19907.58
C00639872,16611.739999999998
C00326363,60218.729999999996
C00660555,88897.56
C00640722,7538.89
C00675330,4038.11
C00376665,432724.91000000003
C00652743,169818.28
C00464073,13896.02
C00666941,12564.06
C00658286,150423.87
C00561597,171168.11
C00672345,169035.98
C00655233,43405.03
C00649913,496735.25
C00669879,25179.28
C00559393,76008.51
C00656769,122523.89
C00658807,75391.58
C00664375,88419.21
C00666354,19367
C00667576,68167.4
C00648907,19286.03
C00655910,131237.01
C00637389,45222.4
C00632232,315144.07
C00669671,14784.4
C00660795,76820.65
C00592048,2877.67
C00641381,570806.94
C00631945,47888.73
C00415182,35839.81
C00614776,9219.68
C00510461,519319.21
C00662668,190
C00386748,115168.06
C00650028,52777.909999999996
C00668475,40786.58
C00558510,46343.8
C00653576,37002.19
C00365593,54025.7
C00669978,7173.8
C00655613,285752.63
C00649954,35384.27
C00649707,64086.88
C00637090,38177.15
C00543363,60472.03
C00639211,63132.12
C00663427,53457.58
C00662940,950
C00660217,73430.56
C00655514,50370.14
C00287912,33867
C00442921,65771
C00666164,133848.21
C00462697,2845
C00647040,63162.63
