committee_id,polling
C00575167,37344.82
C00462861,172329.68
C00660464,94600
C00669069,80250
C00657049,13.44
C00390476,156400
C00654723,25120
C00393629,30920
C00558320,88200
C00543231,8000
C00648162,6290
C00668228,143500
C00512426,89000
C00667964,143878.76
C00661629,3519.87
C00469163,20530
C00652594,148074.26
C00546846,90144.76
C00500207,112946
C00464149,109305.41
C00656231,750
C00512202,58500
C00665836,24000
C00494203,27000
C00592956,2121.26
C00649749,23800
C00608703,40281
C00200584,64964
C00662551,5820
C00546499,47974.09
C00665042,7140
C00675041,14300
C00650457,155957.7
C00658708,45821
C00666735,32461.4
C00657189,2500
C00675678,36500
C00658922,16100
C00497115,82310
C00667295,2500
C00607416,75000
C00667840,20500
C00472365,197590
C00670935,3000
C00412759,155431.34
C00676528,16000
C00649400,2600
C00499392,79198.6
C00510958,155549.91
C00666685,8000
C00634923,12500.58
C00614826,96250
C00680876,15400
C00545616,100675
C00373563,62200
C00664516,3000
C00667576,10000
C00662650,95000
C00650028,31000
C00649418,22625
C00655613,111547.83
C00543363,64143
C00462697,17500
C00521948,72410
C00658633,136500
C00666164,51052
C00664763,2500
C00651521,2500
C00560847,19500
C00649491,29300
C00675108,102000
C00666743,35800
C00468579,30657.3
C00632067,48959.24
C00577999,48500
C00514513,7000
C00371203,29502.06
C00639419,3500
C00518654,58000
C00629287,100306
C00636779,4302.28
C00655647,33800
C00658492,30089.56
C00617662,29000
C00649897,75905.55
C00610212,62500
C00575209,117246.63
C00253187,35700
C00661561,41000
C00649327,34400
C00665034,23250
C00654749,15000
C00663591,39400
C00654640,5046.66
C00650838,1000
C00652271,4000
C00646646,31500
C00475145,11740
C00630426,448204.79000000004
C00647594,83700
C00662205,33375
C00647115,47775
C00648949,26500
C00372532,61385.22
C00497933,75500
C00667741,3000
C00657635,192600.38
C00657627,1300
C00499947,2500
C00640045,50600
C00648220,152709.33
C00661595,63050
C00558213,36000
C00648493,194641.41
C00140715,283.09
C00637868,90800
C00614214,18895
C00641498,76492
C00459297,48915.75
C00670844,46333.33
C00550707,50995
C00551275,21500
C00554014,65112
C00554261,121857.59
C00558627,21557.54
C00572859,82683.27
C00573378,22500
C00577353,18810
C00641605,44000
C00589234,70200
C00639989,32050
C00391029,69600
C00462143,79000
C00673533,500
C00359034,37850
C00656744,41200
C00600718,23000
C00467522,81318.86
C00658328,45000
C00586065,2920
C00673350,2500
C00458877,159478.11
C00669879,19000
C00654079,64618
C00651026,8500
C00668491,42394
C00655225,56334.3
C00652800,92200
C00657437,24513.300000000003
C00545673,30695.34
C00647677,5000
C00551374,16248
C00671156,73306.4
C00665711,71502.67
C00548180,54052.9
C00540617,7300
C00582890,46650
C00665638,93375
C00446815,68565
C00350520,14500
C00420935,165500
C00634253,101500
C00639054,79350
C00224691,130800
C00591065,3500
C00665513,56500
C00638510,179960.07
C00648006,17500
C00657171,14185.2
C00650804,26500
C00646612,11450
C00677898,28454.42
C00410233,19600
C00651752,2343.4
C00658021,2500
C00447474,1000
C00639807,17500
C00166504,31760
C00599464,12045
C00629691,29500
C00661777,28000
C00651851,49900
C00662494,6277
C00632257,52000
C00607838,27312
C00502039,7500
C00545384,13865
C00649632,34600
C00672295,147180
C00412890,25000
C00602722,26000
C00588764,20000
C00451336,8721.98
C00670570,13000
C00631895,35000
C00651372,31982.18
C00630483,27000
C00653576,5000
C00336388,101610
C00672956,1100
C00301838,123600
C00438697,26139
C00373001,43000
C00474189,37243
C00558510,28128.02
C00497818,47500
C00556365,96600
C00650259,35715.5
C00450049,25000
C00555813,52500
C00652651,33600
C00473272,97500
C00466516,46345
C00612432,34208.94
C00607531,6650
C00649798,85300
C00677583,3250
C00666842,29000
C00632448,4500
C00468256,43000
C00658401,137900
C00347492,42250
C00590463,20500
C00633362,108020
C00632232,99000
C00631945,68800
C00632851,30000
C00632141,29000
C00543926,29453
