committee_id,postage
C00665125,17.25
C00660753,6423.49
C00637660,2924.45
C00096412,86938.74
C00498873,510.96
C00464032,10363.88
C00639054,9506.49
C00313510,10940.46
C00412890,25472.829999999998
C00640961,2480.87
C00657981,2827.72
C00575167,22969.21
C00395467,40594.89
C00462861,11790.91
C00660464,36185.29
C00637397,136625.83
C00226928,1570.35
C00661637,79350.70999999999
C00444224,40005.43
C00671206,52.7
C00669671,500
C00640045,12440.49
C00640110,11487.55
C00390476,53209
C00654723,171743.49
C00558320,8817.59
C00656686,8772.94
C00393629,2119.85
C00580415,8466.95
C00305052,70875.44
C00494203,2365.82
C00543231,5025.55
C00670547,957.68
C00649194,2743.42
C00639773,2592.39
C00494583,24991.4
C00662528,5116.4
C00494856,468.95
C00546853,760453.76
C00665513,145380.1
C00673533,8646.97
C00494930,42449.08
C00647081,115142.19
C00668228,3014.28
C00665695,100
C00649350,1096.02
C00653840,117428.69
C00460261,8250.279999999999
C00512426,6325.33
C00667964,6563.56
C00519645,807.2
C00666404,2707.11
C00602920,9210.79
C00495846,36212.89
C00665331,11100
C00495952,19859.24
C00548180,180850.2
C00200865,7865.2
C00664417,1504.34
C00624346,6480.59
C00649533,7399.33
C00634014,510.33
C00653675,47054.09
C00652594,6475.16
C00496760,281.59
C00582304,42824.18
C00581074,141927.57
C00497115,23978.09
C00497396,12829.85
C00497818,16681.98
C00497933,9815.25
C00498121,69078.51
C00498212,17020.68
C00498345,2471.9
C00536680,6688.08
C00499236,126975.87
C00499392,753.8
C00499467,733.97
C00499053,4500.5999999999995
C00500421,268.28
C00541888,6522.08
C00582890,18703.43
C00639732,12279.67
C00502179,5106.49
C00502575,20727.31
C00502294,9975.7
C00501643,3171.51
C00502039,1141.91
C00503094,135067.81
C00458117,4079.24
C00503110,4351.99
C00503185,721.1400000000001
C00648741,50
C00504019,1825.21
C00504522,25026.07
C00502773,1224.27
C00503052,166
C00557652,159968.92
C00505776,1208681.33
C00506048,4512.94
C00646745,12181.49
C00637728,441
C00383828,69390.32
C00647339,2601.85
C00638999,8638.33
C00336388,9474.23
C00505529,4.35
C00330894,36309.52
C00665638,124686.26000000001
C00401190,2121.67
C00589234,110483.02
C00554113,2684.88
C00555888,12245.23
C00366948,952.72
C00588657,819.99
C00637918,781.91
C00660183,2707.38
C00640839,1032
C00629949,137899.32
C00639906,35
C00299404,44069.01
C00433391,2885.27
C00468256,19425.27
C00479063,5171.03
C00649848,4597.2300000000005
C00463836,722
C00386847,1741.79
C00654350,1203.51
C00636951,1322.34
C00259143,1844.7
C00512202,5867.12
C00313247,8177.74
C00649038,1623.54
C00433524,36332.28
C00258475,48688.86
C00410233,12164.18
C00665802,60905.39
C00588871,2162.64
C00649681,122.7
C00410753,4651.36
C00397737,2637
C00671347,18.39
C00386532,1515.02
C00591065,144623.21
C00647495,3.96
C00554014,87834.87000000001
C00648287,513.38
C00550707,4283.04
C00419978,781.06
C00497321,35533.93
C00311043,355.7
C00649061,6381.74
C00514893,3013.4
C00554261,607973.89
C00431502,1015.7
C00641126,11079.5
C00646570,4342.09
C00527457,11550.42
C00392688,55.65
C00639799,13722.8
C00012229,15562.03
C00266940,2902.74
C00656397,62.88
C00548941,98
C00561001,2503.6
C00647537,6048.52
C00464339,230693.02
C00641605,670.4
C00652719,29157.54
C00651224,1218.75
C00445023,6593.48
C00658195,71.86
C00312017,25871.829999999998
C00647925,12868.48
C00652073,45301.86
C00238865,13834.44
C00637363,159930.94999999998
C00333427,31202.95
C00477240,22620.11
C00413179,3252.51
C00350520,135312.33
C00656736,619.3
C00653196,4424.16
C00649483,8432.59
C00640003,16381.15
C00461061,20610.82
C00654400,91851.24
C00637371,67221.89
C00472159,2431.91
C00653634,5957.71
C00655332,996.24
C00650697,13647.82
C00639278,1626.8
C00658385,8004.040000000001
C00545749,5249.94
C00390724,81426.17
C00558437,1173.02
C00637868,112940.22
C00641191,6795.9
C00632257,73968.83
C00397505,13585.31
C00648725,5275.22
C00472704,118095.92
C00476564,10790.65
C00636845,13494.75
C00649962,1077.8
C00368522,6451.97
C00654434,452.31
C00200584,107828.93
C00649087,16558.72
C00636670,290.5
C00462523,163.14
C00648253,4247.37
C00338954,14156.539999999999
C00638650,3883.45
C00554899,2854.76
C00434191,2549.35
C00551275,18187.15
C00468579,6827.96
C00638023,26079.12
C00650234,1745.51
C00634873,1309.42
C00650473,944.8
C00553859,1624.59
C00607101,1649.55
C00437913,903.44
C00662601,131108.89
C00546499,1800.35
C00662817,628.4
C00639286,887.55
C00648998,1459.8700000000001
C00451336,951.67
C00636860,935.55
