committee_id,radio
C00096412,2448
C00637660,8162
C00670224,806
C00671081,5555
C00575167,9990
C00660464,40000
C00661637,45300
C00390476,28310
C00546358,10540
C00649350,250
C00664417,250
C00647081,8620
C00464149,908618.65
C00647008,16889.239999999998
C00266940,1648.69
C00614305,1181.0900000000001
C00572602,1000
C00647099,4800
C00554014,1162257.56
C00663815,350
C00663435,13664
C00655332,35231
C00663443,510
C00671867,4052
C00655191,10175
C00638080,13442
C00582635,1848.72
C00652396,23423
C00665828,2217.5
C00661900,8387.1
C00667931,3195.86
C00666529,4878
C00663351,5797.32
C00572560,34227.5
C00674838,2884
C00654376,2000
C00650481,27844
C00658708,56378.68
C00647958,425
C00668756,3380
C00424713,2100
C00636571,3856075.24
C00652156,8662.25
C00472241,3448.5
C00675330,1095
C00444471,16381.2
C00671263,8507.92
C00672162,800
C00650671,5386.5
C00680876,8688.970000000001
C00666230,1565
C00680462,20010.9
C00647222,900
C00666941,1600
C00651653,3098
C00657528,774.6
C00680942,625
C00666354,2000
C00477323,29436.1
C00671255,2000
C00649418,5550
C00652800,100000
C00442921,4999.5
C00658583,12070.07
C00655084,828
C00496760,242446.5
C00649210,2060
C00649392,2176.45
C00650507,85750
C00674663,2625
C00468579,27975
C00632067,207490.57
C00682690,720
C00662650,9702
C00653915,248
C00673236,250
C00498121,64547
C00639419,3200
C00521948,600
C00506832,25000
C00665679,1861
C00608695,20210
C00582296,15504
C00583781,2000
C00539866,3314.8
C00664797,2529
C00657171,1500
C00659615,35167.87
C00386532,13022.19
C00647131,1480
C00663419,3113.99
C00636498,2840
C00652354,6483
C00666594,1467
C00545681,748
C00663203,34000
C00657627,1507.5
C00663807,1568
C00561530,269986.75
C00656785,300
C00473272,182951.25
C00548180,9089
C00551275,492
C00255562,2500
C00658344,2191.5
C00615260,1200
C00650929,5065
C00653949,1040
C00677849,216
C00658997,4667
C00675405,250
C00673020,4736.5
C00649178,2531.5
C00652719,1680
C00346080,15000
C00391029,1720
C00646372,755
