committee_id,research
C00096412,1072.65
C00575167,4165.8
C00660464,20067.22
C00557520,6250
C00640045,201537.97
C00390476,17256
C00580415,36757.16
C00393629,21918.239999999998
C00656686,215658.98
C00305052,24868.93
C00670547,132002.91999999998
C00494930,67751.19
C00649350,58828.49
C00667964,22000
C00648816,13000
C00495952,59852.5
C00495846,265000
C00498345,5137.6900000000005
C00499392,66244.4
C00499467,36750
C00500207,13081.35
C00502294,3604.7599999999998
C00503110,73213.7
C00503185,35000
C00502575,133220.28
C00648949,9683.119999999999
C00637918,17669.25
C00640839,96417
C00299404,15000
C00639146,28209.39
C00665695,17500
C00649061,7792.5
C00638023,71871.5
C00659748,4000
C00652065,24938.89
C00648725,190039.57
C00650911,92400
C00652297,56552.51
C00638536,4739.46
C00646844,72400
C00633867,70751.93
C00652248,345260.36
C00546499,9974.7
C00660522,41961.4
C00652628,273935.71
C00662767,92600
C00649491,19730.82
C00343236,52200.18
C00653634,237532.3
C00639187,61300
C00411660,586.91
C00657411,488531.04
C00473132,67000
C00641191,97632.69
C00554261,33330.03
C00582890,55695
C00639278,39653.68
C00657155,47900
C00632828,99700
C00654723,10000
C00669358,51100
C00655134,3593.18
C00649897,20000
C00650457,24000
C00636845,79333.56
C00647677,6538.68
C00412759,31559.4
C00637496,13866
C00658708,3750
C00666677,41.48
C00651851,15356.6
C00658922,11014.95
C00646901,69000
C00564948,650
C00673681,7727.27
C00638510,25471.25
C00657122,9000
C00424713,3000
C00649376,96000
C00639427,40920
C00657213,35419.91
C00655647,57843
C00654509,39098.41
C00673384,300
C00639799,23091.629999999997
C00649400,300
C00510958,2535
C00511568,5000
C00666966,170288.05
C00659623,38600
C00638403,5689.5
C00509968,31950
C00512236,41630
C00660134,1000
C00639658,200
C00655233,31000
C00662619,137683.23
C00652594,11414.25
C00667758,31250
C00671412,843.5
C00654574,46250
C00410969,39288.72
C00662577,80421
C00641381,28819.98
C00666164,8560.5
C00669069,16500
C00658583,38250
C00662874,11800.48
C00670679,44672.33
C00640714,160950.94
C00662213,43779.74
C00662650,6545.21
C00670034,92854.5
C00513077,74981.85
C00514513,5500
C00514893,16500
C00647057,3500
C00660795,1840
C00575092,34400
C00461061,55200
C00629287,12000
C00652719,6400
C00509729,8286.96
C00467571,253405.11
C00657098,3000
C00582296,59241
C00394957,35500
C00650440,53056.7
C00664599,10000
C00649327,48814.55
C00464339,190333.2
C00541888,10000
C00653196,311763.83
C00658492,7000
C00639419,22700
C00658070,29000
C00652107,166920.9
C00658310,11770
C00657775,1019.5
C00658500,360
C00653410,4500
C00652784,6319.99
C00660837,257225.29
C00650648,136771.95
C00639740,1000
