committee_id,salary
C00648741,15978.49
C00639054,200167.71
C00313510,128461.75
C00648956,252072.79
C00395467,33358.28
C00656686,224900.4
C00660464,236600.63
C00226928,208573.87
C00664540,1785
C00640045,152774.3
C00390476,250774
C00393629,115953.74
C00494203,85342.37
C00543231,10706.1
C00664060,48350
C00494583,16828.91
C00668285,5550
C00653675,21413.45
C00673533,75076.65
C00647081,25130.91
C00668228,205620.38999999998
C00512426,239252.38999999998
C00667964,59938
C00602920,113005.55
C00495952,255956.64
C00481911,30170.77
C00664417,56213.99
C00655795,1164
C00498345,57289.91
C00498121,132087.16
C00499236,31682.22
C00499053,53657.63
C00500207,65795.97
C00500421,32407.52
C00502179,4860.52
C00502294,219108.16
C00501643,79168.89
C00502039,25547.32
C00503110,240460.99
C00503185,98272.11
C00504522,32493.72
C00502773,51676.32
C00505776,249303
C00506048,36120.1
C00608000,10000
C00330894,543851.22
C00555888,232161.61
C00557181,12686.69
C00665828,10189.72
C00591065,284576.58999999997
C00419978,6617.04
C00637967,300392.86
C00649749,56206.9
C00649061,87811.4
C00299404,43333.259999999995
C00641605,12544.98
C00639146,317727.83
C00595694,13499.77
C00304709,125724.01
C00636951,128316.64
C00649038,10412.880000000001
C00636571,379292.84
C00386532,46029.37
C00658625,60479.37
C00639559,108001.85
C00648774,307662.45
C00431502,3139.8399999999997
C00655340,13046.86
C00413179,127591.57
C00658195,31206.809999999998
C00647099,11864.52
C00649020,81504.9
C00652073,20672.23
C00639658,8224.44
C00647537,483022.71
C00636480,64653.2
C00634543,210513.96
C00633362,222838.9
C00640003,428586.85
C00636324,125475.54
C00472159,183807.66
C00639278,143716.18
C00651158,93872.87
C00637876,26299.5
C00636845,147361.43
C00472704,91469.22
C00637868,294225.46
C00654400,317434.07
C00652065,233377.54
C00397505,107920.94
C00636670,144801.13
C00541888,41386.72
C00654434,40950.939999999995
C00646844,230397.99
C00546499,73218.29
C00639187,123483.56
C00649129,54348.88
C00649491,123059.73
C00662601,7168.25
C00607101,74098.39
C00634873,33541.479999999996
C00371302,106403.01
C00653923,170833.56
C00662544,174077.51
C00639526,141413.4
C00651315,56471.45
C00303305,444624.2
C00670844,95583.4
C00344671,32286.600000000002
C00259143,79470
C00650457,148108.02
C00638536,49846.69
C00665711,176203.37
C00462374,14602.539999999999
C00632828,99649.86
C00670232,15150
C00649376,218293.41999999998
C00661777,92336.52
C00666438,10500
C00466870,216787.68
C00649640,34050
C00409219,99700
C00213611,7444.57
C00657437,15283.84
C00590778,72366.93000000001
C00676502,13953.429999999998
C00675678,81482
C00671446,2910
C00462556,22280.33
C00650648,334137.96
C00675777,1600
C00638510,245676.5
C00482307,102746.91
C00657189,6250
C00444968,79849.04
C00504019,48092.4
C00651026,29633.22
C00636381,700
C00667840,12175
C00670935,17240.079999999998
C00660597,40301.14
C00575126,94461.99
C00460063,220650
C00326363,162636.53
C00639872,19321.199999999997
C00647446,209.68
C00308742,39734.94
C00652743,44673.94
C00668269,17405.84
C00462523,14748.01
C00654624,3000
C00634923,15500
C00649913,320114.06
C00672345,87758.29
C00664375,187789.38999999998
C00415182,69126.59
C00641381,326650.56
C00637389,90269.40000000001
C00659797,750
C00648907,48680.23
C00656769,89250.09
C00477323,4750
C00652446,9600
C00655233,22735.22
C00660795,88270.24
C00462861,5947.16
C00667576,45577.42
C00630798,1350
C00662650,52529.7
C00657056,85539.39
C00670703,21907.92
C00398644,155037.19
C00650028,148512.43
C00639211,104758.09
C00512970,195028.29
C00678516,27215.42
C00655613,188417.49
C00659516,4800
C00442921,144047.01
C00464602,46224.81
C00521948,174889.87
C00657981,61571.92
C00658633,208327.17
C00646612,51815.56
C00552588,67165.83
C00659177,180962.62
C00675538,13736.23
C00676627,9753.84
C00649236,336473.91000000003
C00673343,60328.29
C00575092,200834.97
C00390724,90908.02
C00662577,229058.69
C00652800,64923.53
C00410969,598377.73
C00640839,112850
C00327023,428654.93
C00638973,26798.12
C00385773,187763.11
C00664565,25333.06
C00580316,95806.44
C00675108,244653.5
C00476820,89499.39
C00443689,101807.38
C00649210,11058.75
C00656744,51233.549999999996
C00286500,13182.75
C00450049,100484.09
C00441295,30000
C00650242,25611.850000000002
C00558213,117045.17
C00166504,140873.31
C00650440,86776.53
C00659615,96014.54
C00659292,5534.7300000000005
C00514893,140425.63
C00660472,244040.93
C00520379,13039.8
C00661371,20655
C00639419,365067.58
C00661769,4660.49
C00652719,304527.82
C00657676,23432.89
C00649079,40356.75
C00636779,67687.05
C00655647,95245.18000000001
C00667741,60595.09
C00459099,37980.77
C00083428,6904.46
C00253187,105117.8
C00664599,120565.56
C00657825,45555.36
C00650655,70988.4
C00572859,244834.63
C00333427,232449.51
C00651042,97404.15
C00462143,171122.29
C00650408,68804.31999999999
C00506931,22903.13
C00649947,6247.96
C00646646,76871.83
C00373464,114498.4
C00657486,69764.29
C00347492,88273.8
C00651521,21161.59
C00637090,67158.61
C00379735,55562.39
C00655084,11980
C00647131,263.02
C00639740,17225
C00612432,20000
C00652784,48356.04
C00630426,864930.8099999999
C00637074,265880.84
C00629881,40264
C00653816,295513.26
C00652495,96041.71
C00655225,84298.41
C00647115,191186.63999999998
C00641498,16250
C00638726,256705.13999999998
C00654970,5000
C00343871,134042.77
C00543843,52545.810000000005
C00224691,125478.49
C00213512,307499.26
C00539866,5623.87
C00656116,13445
C00660381,253316.62
C00653196,433.5
C00648618,49050
C00338954,249553.57
C00648220,235829.8
C00364935,50199.409999999996
C00648493,72902.4
C00140715,291536.54
C00649459,131814.31
C00667097,565625.9
C00673350,136942.35
C00652172,41785.29
C00669481,55814.19
C00474189,61581.26
C00663823,2000
C00458877,46072.88
C00629691,30536.85
C00650929,99632.17
C00629865,4367
C00649731,20187.3
C00657619,138128.26
C00648972,142937.19
C00673020,22450
C00668061,8800
C00559393,9975.68
C00578302,6251.59
C00674911,3000
C00632232,548113.43
C00665885,19800.93
C00653733,2000
C00675876,8983.33
C00680553,16999.989999999998
C00679571,529.24
C00331397,19378.309999999998
C00677377,26612.42
C00637371,181277.56
C00588558,33872.5
C00279851,37433
C00444471,48154.86
C00408534,10911
C00330142,218033.55
C00636613,28768.06
C00651372,77000.84
C00458976,81521.11
C00374058,24006.75
C00634253,210381.98
C00592048,16583.04
C00556506,3000
C00651752,9872.77
C00665448,47666.63
C00677880,8638.81
C00650424,5428.68
C00632067,17566.83
C00636761,62586
C00653220,13000
C00667170,3250
C00266940,74900
C00672295,90670.72
C00675959,700
C00653162,5683.5
C00451336,15417.2
C00633511,13757.45
C00637785,63100
C00664755,9000
C00651711,5881.9
C00648014,5581.8
C00634212,371450
C00290825,185200
C00580621,1000
C00649988,11534.32
C00576926,1406.25
C00605592,2762.25
C00501254,3725.51
C00286187,76256.54
C00287912,80483.75
C00649715,10500
C00607531,16700
C00555813,23687.02
C00674317,960
C00648816,3500
C00632448,1500
C00656785,4940
C00673939,1000
C00670414,25831.16
C00661413,1750
C00678557,7000
C00653253,46805.99
C00229104,144276.13
C00671107,21365
C00648048,35332.21
