committee_id,smedia
C00655837,1538.25
C00637660,189
C00657981,2000
C00669671,13675
C00649194,5500
C00664417,1947.91
C00498121,15040.62
C00499236,8176.12
C00646745,69500
C00638262,735.33
C00608000,6169.82
C00665695,1277.29
C00656173,800
C00658849,1000
C00656959,3443
C00639559,8000
C00392688,215880.22
C00641126,250
C00653691,3493.4
C00648329,1000
C00651299,3200
C00653253,600
C00640227,329.93
C00658419,20000
C00651224,800
C00668285,130
C00649483,2632.89
C00650804,12429.28
C00648253,66207.4
C00662452,1317.98
C00661579,3138.92
C00636621,7458.57
C00660118,4652.5
C00671370,9581.61
C00663815,1057.84
C00652404,18183.05
C00437913,114190.87
C00640268,14000
C00671842,564.38
C00649186,5095.8
C00648162,9759.28
C00657437,499.73
C00655134,12495
C00665356,4465.79
C00652917,400
C00424713,417.25
C00673558,757.94
C00651372,24527.26
C00650481,15547.5
C00646455,3498.57
C00581330,10017.32
C00612432,45151.51
C00482307,17760.42
C00664060,2635.35
C00664508,9225
C00660597,31883.39
C00592279,4045.25
C00663310,993.4599999999999
C00668194,9498
C00648196,255.42
C00674325,29000
C00671263,6488.98
C00592659,2599
C00648964,299.51
C00497396,26329.58
C00680876,2700
C00647222,1489.19
C00592048,47064.99
C00661892,287.72
C00649806,860.21
C00655860,2677.58
C00652628,17325
C00669879,295
C00655514,378.4
C00655340,412
C00681361,530.53
C00672113,500
C00405431,36235.03
C00671339,450
C00641035,4710.2300000000005
C00649210,1385.52
C00659615,19764.77
C00668475,20685.62
C00639419,17693
C00638353,129.15
C00502229,2450
C00649798,28610
C00670950,3404.44
C00655795,487.3
C00650705,51322.02
C00660803,3781.3
C00658534,800.4
C00650036,5171.68
C00435370,30000
C00651547,500
C00629881,3182.21
C00649228,1354.04
C00640896,2988.78
C00663138,484.49
C00614305,493.33
C00650655,59250
C00650812,0
C00637462,17168.01
C00370650,5000
C00652925,1000
C00662957,10850
C00390724,3532.68
C00655332,2043.75
C00636720,4334.95
C00656397,320
C00648493,3937.53
C00663443,2700
C00444620,32030.26
C00661694,400.81
C00552547,116529.36
C00560847,3675
C00658997,1175
C00659078,3530.53
C00659565,3320
C00634188,2118.01
C00647057,9695.83
C00647214,105
C00659912,2000
C00668483,5000
C00608430,11581.85
C00663450,1950.78
C00460063,7576.8
C00383828,23503.66
C00444471,13579.24
C00458976,7500
C00213512,549875
C00502294,5000
C00634253,8294.67
C00665182,3000
C00640938,21935.53
C00658021,3981
C00677898,100
C00654194,3110
C00675603,2106.72
C00639807,2422.7
C00640755,57
C00602888,10213.55
C00652263,640
C00654863,119.69
C00665125,1716.99
C00638478,600
C00634048,285
C00664292,506.85
C00602722,200
C00663203,5651.09
C00641431,2500
C00607531,1650
C00657775,1188
C00639591,3043.03
C00657551,10
C00663187,802
C00651968,24.49
C00672873,23202.07
C00594168,2954.25
C00675900,3000
C00634212,5585.25
C00662296,1334.06
C00589374,114.02000000000001
C00667287,350
C00660977,2898
C00651497,9000
C00661652,1800
C00649038,25.1
C00647958,282.52
C00554014,11941.77
C00649707,500
C00674978,348
C00649004,14098
C00659110,12578.23
C00630384,47.19
C00632455,4094.44
C00472704,26529
C00460402,4000
C00632497,16852.88
C00472241,109728.11
C00630335,700
C00373563,1500
C00451336,1500
C00634105,1805
C00631572,10000
C00575860,22046.62
C00631945,57397.229999999996
C00608703,18660.86
C00629790,1021.0400000000001
C00636092,27058.62
C00497933,2665
C00614776,13378.77
C00638221,340
C00636514,100.26
C00632737,2000
C00468413,30
C00635227,1240
C00636761,415
C00637090,2000
C00634550,239
C00617662,500
C00591701,199.3
C00659342,1000
C00650879,8400
C00659334,800
C00671057,7500
C00640110,15359.380000000001
C00648972,228
C00672295,4328.97
C00612408,14499
C00680785,13317.83
C00661629,4000
C00633982,8225
C00648907,228
C00445023,433.34
C00648998,5029.58
C00656116,114
C00640003,91957.36
C00558320,52300
C00634543,27.18
C00346080,3198
C00669390,101.97
C00648915,6500
C00631564,4055
C00668020,538.9
C00639773,2625
C00641340,3992.17
C00668608,1889.8799999999999
C00647677,5400
C00650689,2400
C00659920,1942.05
C00661389,293.11
C00666941,800
C00671404,1800
C00671701,354.32
C00671875,510
C00657510,300
C00635888,1411.53
C00474189,6613.4
C00680256,449
C00678904,11470
C00666685,120.62
C00670364,374.37
C00674507,2401.13
C00640151,410.52
C00665836,250
C00637546,3000
C00657445,1875.81
C00665653,2500
C00674853,9300
C00652594,5400
C00663245,75.67
C00671859,17000
C00670935,2000
C00649509,2650
C00608901,268.4
C00215905,15088.82
C00633867,7000
C00637397,7000
C00673012,30.45
C00647099,1615.99
C00639146,12165
C00661009,280
C00676163,860.47
C00622829,300
C00666859,17166.38
C00668798,5341.99
C00661165,3885
C00464602,9200
C00661637,27300
C00286187,7.02
C00658401,1800
C00666362,539.06
C00657718,20000
C00563668,724.33
C00676726,2093.3
C00372532,7.02
C00303305,257.02
C00641001,3862.2
C00669507,1500
C00665448,700
C00664516,2785.63
C00631762,59.98
C00672808,144
C00012229,27058.82
C00656280,3000
C00647339,211.45
C00287904,5000
C00639641,1628.95
C00661678,1165.12
C00543926,1898.1599999999999
C00654095,15297.32
C00662973,7303.23
C00664409,5500
C00620443,435
C00678326,5198.13
C00658336,250
C00663542,374.40999999999997
C00647875,1400
C00666420,250
C00673020,1000
C00596841,7.98
C00661363,1000
C00638346,177.35
C00674416,250
C00670414,1100
C00269340,10000
C00273169,47699
C00657650,5659.5
C00677492,550
C00663930,4000
C00659243,2970
C00681155,2105
C00640961,2500
C00650622,1049.98
C00672451,7133.8
C00636571,3400
C00581595,17500
C00666453,2700
C00654178,2039.1299999999999
C00376087,16745.29
C00510164,6400
C00634808,4470.9
C00607432,905
C00615542,1889
C00659235,268.37
C00659581,749.34
C00659748,599.85
C00664565,500
C00683623,2185.96
