committee_id,television
C00639054,707573.6
C00657981,17004
C00575167,117000
C00660464,61759.13
C00661637,143200
C00390476,2464279
C00654723,13000
C00649350,2575202
C00464149,1087488
C00665638,1288727
C00498345,185
C00647081,129217.64
C00599514,20
C00640839,997719.44
C00614305,8103.05
C00557652,5570
C00651539,6972
C00662551,55703
C00667097,8646987.23
C00648162,9355
C00650408,2189373.98
C00638080,22223
C00669358,185000
C00665042,100000
C00636845,209170.26
C00658708,837191
C00590778,300
C00657189,18898.05
C00666529,41847
C00636571,291369.53
C00667378,5250
C00671446,700
C00499392,1460920
C00286187,1165.53
C00652149,255263
C00680876,14252.35
C00680462,13681
C00664375,1571683.5
C00662650,327558.75
C00636092,583677.6
C00646810,8170
C00652800,100000
C00655084,2801.75
C00658583,269999.4
C00468579,979448
C00632067,275569.77
C00673236,3800
C00657676,256138.91999999998
C00648519,33000
C00408534,569326
C00655647,1081250
C00608695,178069.34
C00572560,393170.01
C00582296,396500.3
C00648006,9000
C00664797,8712.5
C00253187,615976.35
C00664599,734690
C00386532,13036.01
C00654640,6003.25
C00303305,907191.28
C00354688,3891.81
C00654442,81050
C00663203,51500
C00655332,41126.55
C00639963,5000
C00509299,12974.15
C00561530,224051.31
C00663542,2000
C00664912,3600
C00607432,241796
C00405431,207814.82
C00652719,2498871
C00648493,250000
C00638650,3002945
C00679571,10838
C00673350,1122000
C00477745,8058.74
C00653410,113314.14
C00652396,83516.5
C00588558,4860
C00657437,200000
C00683144,4500
C00391029,1044596
C00666859,357056.26
C00659714,406798.98
C00012229,309610
C00671156,1244087
C00551275,1737681
C00647727,543670
C00608430,49988.5
C00433524,47776.5
C00634253,1772085.1099999999
C00576041,605693
C00680785,20000
C00654194,400
C00656447,900
C00602722,64992.5
C00651315,148550
C00663823,11000
C00451336,1900
C00663807,1938
C00607523,17707
C00416594,684812.67
C00631945,5149186.22
C00637777,63785
C00333427,1083629.18
C00554014,50074.219999999994
C00650705,109896
C00633982,452898.64
C00592279,17481
C00656579,3425.44
C00497396,21281.14
C00659615,20057.32
C00658450,2250
C00659110,1800
C00661835,8000
C00272211,6474.21
C00458976,391.64
C00597724,4003.86
C00631614,8435
C00616045,500
C00631564,10600
C00648766,65500
C00675561,69328.65
C00658625,150000
C00647115,468179
C00640763,505.04
C00612408,32000
C00468256,197892
C00575506,706.8
C00614214,434.75
C00634543,29488.4
C00655720,105.53
C00654400,2608729.42
C00639310,996699.47
C00668608,257181.62
C00649947,20000
C00652735,6000
C00652628,5304926.03
C00646844,26000
C00648949,239645
C00649913,3058941.5
C00650036,87972.74
C00651042,2111880.7
C00653816,3820948.89
C00654780,94141.07
C00659326,16666
C00662577,2432395
C00666941,500
C00670604,97257.36
C00677096,1479274
C00669481,16825.78
C00640375,241.65
C00639096,18715
C00460261,400
C00655811,6074
C00657411,5808701.42
C00651158,22597
C00678904,27500
C00634709,24019
C00665331,106693.06
C00658328,164543.72
C00657619,348770
C00304709,462500
C00441014,259269.81
C00662940,97137
C00672311,575128.94
C00660381,337855
C00671859,182282.04
C00670976,73753.8
C00666842,50010
C00672634,9440
C00667063,5000
C00665059,1500
C00657775,29820
C00669580,5250
C00648683,4100
C00653451,3700
C00661165,1667629.25
C00652792,227172.19999999998
C00654111,38000
C00501643,304724.59
C00634212,5302311.09
C00682690,2075
C00561597,917147.21
C00657650,686065.98
C00662213,309850
C00670034,3475743.75
C00546358,24013
C00605592,76559.04000000001
C00607556,2094.75
C00656280,63000
C00444471,103541.7
C00659235,7919.84
C00658401,563919
C00641381,3656619
C00668335,3584
C00631572,120525
C00661173,105000
C00336388,29915.21
C00563940,354446
C00639773,86381.88
C00658286,865150
C00648774,377487.63
C00641340,5019
C00506287,1246.57
C00498121,40692
C00459099,74970
C00672931,38915
C00655233,100000
C00672568,76.33
C00669200,150
C00660472,2065879
C00422980,35399
C00655910,175000
C00552810,8576.85
C00671370,7600
C00582015,8000
C00652065,54088.74
C00676528,10775
C00651562,1928.75
C00651885,4405
C00646752,709540
C00470757,791226
C00586065,19761
C00258855,16500
C00592469,47119.75
C00662973,500
C00655134,12376
C00582890,10053.65
C00509422,4317
C00498212,11836
C00593525,6885
C00543926,1329835.3800000001
C00648295,220544
C00652248,60540.8
C00650507,6000
C00658336,28238.87
C00461822,77500
C00666743,70400
C00592048,12500
C00650366,1053756
C00653121,186364
C00673020,12463.75
C00641563,8338.5
C00680942,86684.25
C00671107,8200
C00663591,200000
C00659763,3400
C00675801,686.7
C00581033,117730
C00273169,99226
C00347492,323600
C00475145,106500
C00663849,40000
C00654624,1300
C00657874,60
C00638411,105733.65
C00648055,424537.33
C00672451,11347.5
C00654988,92121.3
C00654277,226227
C00628917,785448.71
C00667519,295.24
C00673871,7777
C00667915,14141.25
C00445452,249500
C00630384,4925
C00641001,19599.5
C00658385,52046.479999999996
C00640961,718.68
C00650622,385000
C00359034,15250
C00269837,1317.5
C00166504,534.96
C00236513,50000
C00638726,110971.33
C00662874,145014.66
C00637868,3756600.27
C00680900,2335
C00653196,243871
C00654178,4134.5
C00457556,302923
C00594168,150
C00647677,479.6
C00637785,12586
