"","committee_id","total"
"1","C00572073",359.88
"2","C00464032",3880533.89
"3","C00494930",2674716.07
"4","C00494203",1368860.84
"5","C00494583",1134420.25
"6","C00494856",829482.24
"7","C00588871",46529.27
"8","C00495846",4512961.56
"9","C00495952",3935187
"10","C00496760",1078162.43
"11","C00497115",3815019.31
"12","C00497321",939929.87
"13","C00497396",1600813.33
"14","C00497818",1995659.9
"15","C00497933",1075043.82
"16","C00498121",1868421.94
"17","C00498345",2152382.93
"18","C00498667",1280663.7
"19","C00498212",672763.29
"20","C00498873",1749976.47
"21","C00614305",194353.09
"22","C00025379",151049.48
"23","C00499236",3022972.3
"24","C00499947",1172862.05
"25","C00499392",3604945.58
"26","C00499467",832848.23
"27","C00499053",960743.49
"28","C00500207",1995850.63
"29","C00500421",970262.88
"30","C00502179",923951.16
"31","C00502575",2895822.96
"32","C00502229",693176.99
"33","C00502294",2548505.74
"34","C00502393",92166.1
"35","C00501205",485617.96
"36","C00501254",78810.22
"37","C00501643",1393023.81
"38","C00501833",28416.34
"39","C00502039",921740.44
"40","C00503094",1422977.32
"41","C00503110",2123577.95
"42","C00503185",1907807.98
"43","C00504019",1252499.74
"44","C00504522",2249136
"45","C00502773",607461.01
"46","C00503052",1467854.12
"47","C00505776",6227353.28
"48","C00506048",1433170.8
"49","C00506832",1405946.57
"50","C00506931",1014610.62
"51","C00507368",796468.34
"52","C00550707",1778831.01
"53","C00647222",89101.39
"54","C00638346",99392.07
"55","C00638775",118348.74
"56","C00648196",52729.64
"57","C00616573",32108.12
"58","C00641126",135838.37
"59","C00649475",4253.8
"60","C00641605",922672.3
"61","C00638783",70821.98
"62","C00479063",666546.34
"63","C00579433",24566
"64","C00651299",23203.04
"65","C00632059",267839.27
"66","C00639963",133398.07
"67","C00561001",3394361.28
"68","C00258475",1479331.94
"69","C00618017",561.12
"70","C00619262",90869
"71","C00602854",2246.6
"72","C00646745",9523100.31
"73","C00648048",322045.55
"74","C00650424",32973.85
"75","C00621771",2231.9
"76","C00629618",67
"77","C00394973",1411.93
"78","C00603126",1532.78
"79","C00621920",13987.8
"80","C00589234",2984308.69
"81","C00634899",6141.56
"82","C00605659",10860.7
"83","C00634337",19629.75
"84","C00649277",226555.25
"85","C00636324",1565860.44
"86","C00629659",1552338.63
"87","C00548560",1
"88","C00509299",101476.12
"89","C00641001",278916.02
"90","C00583088",-250
"91","C00509422",1142736.99
"92","C00635086",17813.16
"93","C00511568",1970892.56
"94","C00509729",381638.11
"95","C00512202",1681130.2
"96","C00512236",4549171.36
"97","C00509968",2732399.57
"98","C00510164",1810822.99
"99","C00312017",2263859.06
"100","C00477323",904935.99
"101","C00510461",2688729.66
"102","C00437913",2146751.64
"103","C00512970",3365459.39
"104","C00631127",61473.54
"105","C00512426",4840424.18
"106","C00630434",57637.56
"107","C00513077",2035726.88
"108","C00513531",923596.62
"109","C00514513",1621319.97
"110","C00514893",1351858.8
"111","C00520379",1892574.45
"112","C00521948",4077645.61
"113","C00516666",1411068.19
"114","C00518654",4251146.01
"115","C00519355",563245.87
"116","C00636779",467313.87
"117","C00536680",740762.34
"118","C00539866",879434.75
"119","C00527457",2653611.47
"120","C00528182",357255.15
"121","C00540617",2015444.87
"122","C00660191",2683
"123","C00647016",80848.73
"124","C00541862",1511465.51
"125","C00541888",1451400.12
"126","C00637231",23442.95
"127","C00543231",809135.87
"128","C00083428",542333.7
"129","C00313510",1401146.31
"130","C00658310",216300.77
"131","C00607416",4126660.61
"132","C00646646",660246.64
"133","C00543363",973300.55
"134","C00652669",5486.94
"135","C00647594",1695477.93
"136","C00649798",3430151.23
"137","C00662668",474055.08
"138","C00582296",958195.1
"139","C00543892",661408.85
"140","C00572859",3156428.72
"141","C00649392",35757.57
"142","C00638726",1745535.02
"143","C00302422",119124.37
"144","C00326629",198639.81
"145","C00550087",500
"146","C00471896",1494.77
"147","C00579102",4356.52
"148","C00442053",10182.21
"149","C00619494",5490
"150","C00578732",1926.55
"151","C00608299",19487.02
"152","C00463620",7829.93
"153","C00588699",2938.34
"154","C00591875",12607.64
"155","C00477984",3500
"156","C00543843",408527.95
"157","C00661066",55328.18
"158","C00344697",884056.1
"159","C00649913",7671460.75
"160","C00636183",3820.15
"161","C00286187",1676281.29
"162","C00543967",1483092.7
"163","C00545467",5330743.4
"164","C00544445",659540.98
"165","C00457556",1242740.7
"166","C00546846",5317829.42
"167","C00545673",961312.71
"168","C00558486",2132145.91
"169","C00631572",1523227.75
"170","C00546499",2965027.29
"171","C00546358",517742.87
"172","C00547240",3737058.25
"173","C00546853",6117614.5
"174","C00096412",1653404.94
"175","C00557520",4960624.32
"176","C00547885",6000
"177","C00547893",3000778.86
"178","C00548180",1421634.29
"179","C00551275",3724588.46
"180","C00550871",91295.71
"181","C00629675",287133.8
"182","C00551374",1511405.64
"183","C00552547",4703154.55
"184","C00552588",575132.06
"185","C00552604",3663.15
"186","C00554261",6898680.54
"187","C00552786",3785.28
"188","C00553859",1121169.91
"189","C00554113",834552.6
"190","C00558213",1356287.19
"191","C00554709",487559.36
"192","C00554899",1381054.94
"193","C00554949",3498879.51
"194","C00555813",1751655.15
"195","C00555888",1985428
"196","C00556365",3172475.61
"197","C00556506",1230725.31
"198","C00556944",76884.92
"199","C00557181",664908.27
"200","C00557652",780708.04
"201","C00558510",1017042.11
"202","C00558627",939343.22
"203","C00559393",1101350.26
"204","C00558320",1560522.58
"205","C00561183",195554.45
"206","C00561530",1218069.36
"207","C00561597",1927584.87
"208","C00473736",634666.19
"209","C00630517",240122.16
"210","C00629691",534341.39
"211","C00571869",3099635.78
"212","C00630244",57877.75
"213","C00573980",1006311.81
"214","C00573378",674430.85
"215","C00116632",1113718.86
"216","C00573949",3041452.62
"217","C00575050",1319682.93
"218","C00575092",2234614.31
"219","C00575126",861843.26
"220","C00575167",2697022.22
"221","C00575506",82795.55
"222","C00576041",2258982.44
"223","C00390476",6079908
"224","C00576173",897619.3
"225","C00410233",1166965.27
"226","C00577353",978770.05
"227","C00591289",56130.44
"228","C00577999",1273445.93
"229","C00629360",41254.09
"230","C00633024",122414.12
"231","C00578302",672662.79
"232","C00630061",283096.4
"233","C00194803",157776.8
"234","C00600700",20369.56
"235","C00632067",1759274.56
"236","C00445023",1759700.65
"237","C00629865",252920.27
"238","C00551572",5923.99
"239","C00570457",67634.87
"240","C00639740",427552.42
"241","C00578567",609349.01
"242","C00579896",137826.56
"243","C00462697",964856.73
"244","C00576710",18532.03
"245","C00637660",144444.36
"246","C00607945",1097.64
"247","C00495630",394628.83
"248","C00656793",305749.34
"249","C00140715",4883015.14
"250","C00607432",1218936.95
"251","C00581058",90472.19
"252","C00638353",89303.89
"253","C00632828",3273383.97
"254","C00477745",1380713.43
"255","C00405431",2520247.39
"256","C00634253",5658712.48
"257","C00154625",749783.64
"258","C00153684",156570.58
"259","C00330142",1899287.82
"260","C00547281",6547.26
"261","C00156612",258314.76
"262","C00632414",29702.8
"263","C00573592",29130.92
"264","C00630913",18464.99
"265","C00584946",424.21
"266","C00621888",144.43
"267","C00580415",4051407.84
"268","C00580647",26378.51
"269","C00166504",1122295.28
"270","C00581090",707045.72
"271","C00581074",1526009.85
"272","C00600981",3529.71
"273","C00167585",1519352.74
"274","C00581330",767819.67
"275","C00172619",536602.85
"276","C00178418",60459.04
"277","C00609461",5434.67
"278","C00575910",3231.29
"279","C00564450",52.88
"280","C00582304",1076347.39
"281","C00582890",3167494.68
"282","C00585976",35798.39
"283","C00587634",20077.11
"284","C00588467",3216.12
"285","C00588657",1203574.36
"286","C00590489",838954
"287","C00590778",1240108.06
"288","C00591065",1507079.39
"289","C00590463",1538576.86
"290","C00592345",737877.11
"291","C00592659",583111.5
"292","C00591685",25951.09
"293","C00592048",999834.39
"294","C00592154",761111.93
"295","C00597724",1405657.53
"296","C00599464",1864570.78
"297","C00600718",658123.64
"298","C00602920",587834.24
"299","C00605592",2021417.55
"300","C00607101",541181.15
"301","C00607200",1658853.12
"302","C00303305",5821717.78
"303","C00659516",70632.24
"304","C00441295",918156.43
"305","C00631978",702857.99
"306","C00607879",48680.95
"307","C00462523",1855696.27
"308","C00461061",2080971.77
"309","C00610212",2361758.68
"310","C00393348",1207612.47
"311","C00634220",16030.82
"312","C00213611",546289.69
"313","C00266940",1213914.16
"314","C00464339",3124038.66
"315","C00634527",59881
"316","C00469163",1545121.41
"317","C00331769",2000727.58
"318","C00269340",556258.23
"319","C00459099",1555155.84
"320","C00474189",3254181.56
"321","C00307314",1917908.62
"322","C00327023",1546860.54
"323","C00397737",973140.17
"324","C00364935",1162162.93
"325","C00385773",1989340.02
"326","C00394957",13335393.47
"327","C00620443",3331214.79
"328","C00386847",675116.14
"329","C00444968",1186703.13
"330","C00257956",689403.07
"331","C00472365",5412066.28
"332","C00614776",2376012.8
"333","C00374058",719345.26
"334","C00472704",3150893.21
"335","C00224691",2942532.46
"336","C00592469",92526.64
"337","C00331397",1220052.73
"338","C00461806",573588.55
"339","C00285171",1440613
"340","C00468256",1264125.96
"341","C00257337",1835266.53
"342","C00467571",5638304.37
"343","C00580316",711537.67
"344","C00285254",669177.08
"345","C00414318",2351631.56
"346","C00376087",2625050.56
"347","C00410829",31857.78
"348","C00444620",1433599.45
"349","C00415182",791730.6
"350","C00308387",511485.82
"351","C00195065",1096921.02
"352","C00462374",1145924.54
"353","C00330894",15697440.95
"354","C00367862",1518931.54
"355","C00580621",50614.84
"356","C00333427",5639424.99
"357","C00636860",108332.05
"358","C00370650",1371894.42
"359","C00412759",4438324.84
"360","C00631002",105494.17
"361","C00438697",1812502.5
"362","C00442921",1133547.21
"363","C00373464",1934417.5
"364","C00197160",915709.55
"365","C00632232",6976011.91
"366","C00554311",262
"367","C00351379",11767.54
"368","C00475145",928028.85
"369","C00368522",2262900.12
"370","C00430991",1337463.97
"371","C00476564",2141274.48
"372","C00269837",812834.69
"373","C00392670",1463097.43
"374","C00383828",3139274.36
"375","C00632505",462937.05
"376","C00259143",662185.07
"377","C00602888",172631.46
"378","C00409797",189483.78
"379","C00451336",2001744.7
"380","C00468405",11615.53
"381","C00634709",2268805.34
"382","C00597732",4280.92
"383","C00458976",1459850.35
"384","C00219881",1391084.61
"385","C00481911",552157.27
"386","C00371302",1175906.3
"387","C00634592",642415.57
"388","C00471292",140009.32
"389","C00409409",235048.77
"390","C00350520",2227501.43
"391","C00468579",2954090.14
"392","C00336388",3046463.64
"393","C00472878",319740.95
"394","C00545749",2160344.85
"395","C00393629",4283331.05
"396","C00347492",2488275
"397","C00372532",2461686.82
"398","C00435099",1757775.06
"399","C00460063",1599518.14
"400","C00608703",4065952.94
"401","C00446906",970256.81
"402","C00441352",6035248.65
"403","C00462143",2548440.66
"404","C00476853",87048.26
"405","C00631895",851826.93
"406","C00460550",715794.21
"407","C00435974",2080014.67
"408","C00433730",133123.79
"409","C00226522",3934719.6
"410","C00633529",31725.75
"411","C00630483",833283.77
"412","C00433391",1083749.23
"413","C00409219",1204426.69
"414","C00413179",840824.04
"415","C00287045",50754.57
"416","C00433136",760384.38
"417","C00254581",254754.59
"418","C00629790",116132.09
"419","C00633511",56678.42
"420","C00213512",5700008.64
"421","C00435198",270
"422","C00633198",307417.67
"423","C00552430",25840.5
"424","C00445452",2019864.54
"425","C00273169",2678229.14
"426","C00473272",5081760.23
"427","C00229377",260198.22
"428","C00354688",954498.16
"429","C00631200",93814.1
"430","C00419978",205970.93
"431","C00366948",565990.31
"432","C00435370",373280.02
"433","C00617662",984117.79
"434","C00308742",596948.01
"435","C00657155",626564.19
"436","C00226928",1942187.35
"437","C00476325",40931.56
"438","C00651968",8266.28
"439","C00439661",6330789.2
"440","C00632497",146964.87
"441","C00575209",6021218.43
"442","C00472159",1216307.54
"443","C00458877",2505787.82
"444","C00238865",1443521.05
"445","C00200584",3762919.03
"446","C00195628",1125907.27
"447","C00607762",47747.75
"448","C00462861",3345429.04
"449","C00343871",3970809.81
"450","C00371203",2324078.98
"451","C00631168",357664.41
"452","C00608737",4093.84
"453","C00418293",488053.08
"454","C00607333",79484.27
"455","C00615302",37024.56
"456","C00215905",1542392.03
"457","C00476523",1087472.07
"458","C00386110",96988.14
"459","C00614982",989.18
"460","C00550301",21580.04
"461","C00607556",829545.73
"462","C00441014",2195531.86
"463","C00431502",80991.14
"464","C00467522",2406545.43
"465","C00612432",1413829.34
"466","C00610642",490419.8
"467","C00334706",260944.86
"468","C00631945",9931690.42
"469","C00401190",880822.58
"470","C00608695",986290.91
"471","C00629287",3751044.23
"472","C00632257",5945472.35
"473","C00420935",10143325.47
"474","C00236513",2315163.42
"475","C00631150",12987.2
"476","C00272211",3241821.74
"477","C00398644",1279345.37
"478","C00331389",28590.39
"479","C00299404",1570573.67
"480","C00384057",1775747.38
"481","C00305052",565958.71
"482","C00347476",51487.63
"483","C00545616",2912205.01
"484","C00555458",15687.49
"485","C00373001",1653908.6
"486","C00333740",904213.75
"487","C00629774",366297.15
"488","C00391029",2554167.1
"489","C00443705",1163419.9
"490","C00632455",26387.26
"491","C00386755",361435.47
"492","C00607838",1300540.63
"493","C00618223",933136.59
"494","C00420745",825649.45
"495","C00366757",115365.31
"496","C00463836",1439251.43
"497","C00461350",16033.89
"498","C00613497",349826.91
"499","C00632174",566555.73
"500","C00477240",1238470.19
"501","C00450049",1235354.68
"502","C00289603",2222409.54
"503","C00635714",3675.4
"504","C00410639",1865772.63
"505","C00416594",1922809.56
"506","C00310532",2226944.61
"507","C00482737",666734.01
"508","C00390724",2395806.78
"509","C00393512",10298.96
"510","C00468413",687732.32
"511","C00473132",1475399.59
"512","C00454694",718608.3
"513","C00608133",100624.02
"514","C00345546",1134951.26
"515","C00473538",204
"516","C00290429",30973.06
"517","C00408534",2203632.21
"518","C00610964",992993.17
"519","C00476291",766276.39
"520","C00577080",13186.74
"521","C00674416",21279.94
"522","C00240986",237616.76
"523","C00304709",1606883.49
"524","C00410761",693687.28
"525","C00254185",876031.26
"526","C00633610",2075820.21
"527","C00538637",9355.26
"528","C00631234",65336.42
"529","C00603498",1079.69
"530","C00367110",166498.89
"531","C00343236",3802258.06
"532","C00012229",1421339.38
"533","C00610451",645997.46
"534","C00571562",181005.32
"535","C00630145",17033.91
"536","C00633982",9673978.03
"537","C00571455",14626.27
"538","C00563940",1042046.62
"539","C00614826",1827055.9
"540","C00419630",1160806.92
"541","C00636738",1387417.77
"542","C00592055",2484.17
"543","C00634089",116728.09
"544","C00546077",42594.62
"545","C00401034",1002836.35
"546","C00289140",277681.56
"547","C00550608",46741.79
"548","C00615468",5612.41
"549","C00432906",364629.57
"550","C00250720",457948.52
"551","C00592261",258424.61
"552","C00359034",1892612.22
"553","C00254573",270061.82
"554","C00443580",110960.6
"555","C00476820",1889929.6
"556","C00301838",3022150.27
"557","C00591784",3595.11
"558","C00271312",915539.52
"559","C00460790",1692.14
"560","C00543249",1256930.13
"561","C00589374",5728
"562","C00580829",1130.94
"563","C00631614",88200.92
"564","C00625152",10313.23
"565","C00588483",2032.26
"566","C00464602",1428849.47
"567","C00633362",8784153.66
"568","C00472241",1568825.02
"569","C00238444",258061.98
"570","C00510487",1770.43
"571","C00602672",5555.86
"572","C00630988",9969.94
"573","C00541227",42384.04
"574","C00290064",947414.9
"575","C00580951",390
"576","C00465971",53522.08
"577","C00470948",128458.47
"578","C00458679",2377118.01
"579","C00318196",148694.85
"580","C00270041",4197630.45
"581","C00434191",1928548.67
"582","C00336065",126062
