committee_id,travel
C00646745,295069.24
C00096412,9655.47
C00656686,14068.47
C00637660,7538.6900000000005
C00498873,59262.75
C00558486,70247.89
C00464032,32097.6
C00639054,112998.18000000001
C00313510,20154.75
C00412890,9498.35
C00648956,48910.68
C00664540,351.65
C00657981,5045.86
C00462861,6872.53
C00660464,14709.91
C00637397,9558.65
C00226928,30854.05
C00444224,13433.78
C00557520,123633.66
C00671206,6002.99
C00640045,27763.19
C00657049,517.44
C00390476,112823
C00558320,13863.02
C00654723,744.1
C00610212,12812.02
C00657676,5738.05
C00666362,85.43
C00676726,625.33
C00393629,213979.57
C00494930,17158.26
C00494203,22689.22
C00670547,35690.46
C00639773,3486.05
C00546358,4354.4800000000005
C00653675,181.68
C00494583,4464.17
C00494856,21491.87
C00665638,31430.64
C00460261,13704.9
C00546853,94431.33
C00668228,24875.37
C00649350,37360.4
C00667964,8511.95
C00495846,31219.36
C00546846,31235.64
C00657445,3150
C00590489,9335.38
C00495952,6615.3
C00545673,32990.65
C00548180,82790.74
C00469163,57916.2
C00649632,3985.92
C00557652,7293.7699999999995
C00652594,26720.72
C00496760,10427.51
C00666396,3036.71
C00582304,68027.76
C00581074,27904.739999999998
C00497115,24362.530000000002
C00497396,109284.58
C00665331,1098
C00659821,1591.27
C00497933,64744.03
C00498121,45280.66
C00498667,28305.72
C00536680,4420.02
C00420935,214503
C00499392,11381.31
C00499053,319
C00476523,42290.69
C00665513,4597.85
C00500207,12293.75
C00648162,3988.93
C00502179,15924.2
C00502575,56109.18
C00502294,189335.6
C00501254,4319.18
C00502039,3590.23
C00658021,8703.25
C00503110,12387.01
C00503185,95589.95
C00504019,4216.16
C00504522,5703.04
C00502773,11538.68
C00503052,38127.96
C00665836,247.79
C00505776,9336.55
C00506048,68933.98
C00506832,3524.89
C00506931,38975.33
C00507368,2593.41
C00611780,3886.02
C00330894,379382.16
C00629949,59641.97
C00386847,13481.48
C00649848,6330.88
C00420745,23432.92
C00639146,17980.17
C00289603,76894.69
C00311639,209279.26
C00647339,27486.27
C00592345,11355.82
C00655118,2457.55
C00655837,372.68
C00331397,18195.44
C00401190,14655.68
C00589234,31364.44
C00554014,64317.85
C00649061,2818.33
C00374058,11653.93
C00588657,6212.7
C00637918,11033.99
C00641126,671.43
C00467571,88159.7
C00652958,11676.48
C00647594,57783.24
C00650408,7274.39
C00285171,34374.37
C00648774,16793.48
C00641605,2580.49
C00639906,2794.34
C00595694,801.14
C00653253,2842.09
C00359034,159762.95
C00649277,22022.82
C00639963,800.66
C00304709,3440.9
C00433524,27299.5
C00554337,3831.39
C00410233,26805.8
C00636951,21158.81
C00258475,16819.46
C00551374,2256.68
C00634022,7643.42
C00615013,38100
C00397737,43076.03
C00588871,2500
C00638262,1502.55
C00637728,243.69
C00639153,326.65
C00656173,2196.08
C00648147,10.6
C00662536,728.01
C00654632,291.9
C00640839,68662.43
C00657015,3729.18
C00608703,44284.38
C00392688,4902.01
C00639799,1423.19
C00649954,7204.16
C00012229,85520.56999999999
C00659748,6134.89
C00310904,3535.88
C00299404,458
C00393041,9773.31
C00615294,1813.85
C00656397,1094.83
C00662882,661.51
C00654350,75
C00648741,439.8
C00652719,52040.66
C00653949,50.75
C00647537,120231.42
C00238865,24162.74
C00464339,219053.27
C00257956,5164.88
C00345546,5981.11
C00312017,7150.1500000000005
C00374231,41755.73
C00640151,1143.17
C00614305,844.29
C00647925,4289.75
C00653584,3695.26
C00333427,87206
C00648014,1547.9
C00667998,305.08
C00331769,105118.8
C00636324,37498.41
C00633362,27339.25
C00649087,23762.84
C00648725,33718.76
C00514893,15924.8
C00639690,29897.399999999998
C00509729,23815.55
C00558437,28373.13
C00368522,9482.25
C00200584,103824.85
C00397505,72453.92
C00476564,33591.1
C00641191,39263.22
C00636845,33943.14
C00338954,186823.86
C00654400,78470.3
C00639278,2238.7599999999998
C00653634,11526.6
C00652297,45195.79
C00650911,11139.67
C00638650,24088.4
C00632257,20700.47
C00364935,8414.68
C00655332,8464.95
C00468579,50364.77
C00462523,26363.79
C00640714,32711.89
C00658385,17592.2
C00637371,25843.239999999998
C00659318,6696.78
C00636696,3965.5299999999997
C00646646,5082.7
C00665711,37007.6
C00663245,4479.37
C00558627,38373.13
C00545467,103587.31
C00371203,53231.1
C00650234,9922.24
C00646901,8464.869999999999
C00632943,1130.99
C00546499,31099.37
C00451336,106640.95
C00607101,20715.86
C00343236,27534.75
C00660522,3784.82
C00633867,3191.7999999999997
C00662601,42441.16
C00371302,7709.48
C00652248,25901.75
C00639187,7678.8
C00652628,23036.54
C00650077,3160.13
C00509968,4292.53
C00650515,9322.31
C00654277,46233.19
C00629287,2762.46
C00637967,4569.3
C00640763,13208.22
C00286187,17067.93
C00650473,1778.1
C00654509,823.58
C00658336,7344.81
C00649129,5754.41
C00513531,61779.49
C00651331,9252.39
C00650671,12205.75
C00303305,27470.239999999998
C00651315,11837.869999999999
C00575209,26249.23
C00640268,14883
C00411660,10335.36
C00662544,18913.47
C00650176,7325.57
C00653923,32407.43
C00226522,149412.12
C00637868,46683.91
C00654699,795.61
C00650150,49420.62
C00634014,2774.45
C00651547,553.42
C00575167,35936.45
C00648618,1975.58
C00444620,42713.42
C00667949,268.48
C00344671,5006.94
C00512236,1969.37
C00657155,9590.6
C00649897,29906.87
C00653592,9188.47
C00654376,467.70000000000005
C00647727,3078.32
C00641001,1820.54
C00657437,8109.9800000000005
C00539866,18696.03
C00648675,11345.99
C00667840,72.89
C00554899,5936.22
C00665034,308.92
C00545616,8387.69
C00599464,1242.89
C00657304,38506.2
C00669358,12742.4
