committee_id,website
C00096412,3300
C00662635,3310
C00667808,254.53
C00648956,6000
C00657981,2256
C00575167,10456
C00395467,1986.87
C00661637,25353.65
C00532721,160
C00444224,55172.51
C00581090,2875.31
C00654723,77503.67
C00666362,201.28
C00665331,21398.31
C00305052,1422.8600000000001
C00494856,5228
C00494930,3840.54
C00590489,15613.8
C00653675,48108.75
C00661629,1075
C00545673,412
C00557652,5935.49
C00610451,15910.52
C00652594,168
C00497321,7049.85
C00497396,57308.37
C00499392,1593.89
C00499947,1050
C00499467,2655.69
C00499053,2861.47
C00648741,712.49
C00500207,15061
C00502294,11660
C00502575,8596.73
C00501643,1424.32
C00503110,6931
C00504522,1849.65
C00503052,1254.37
C00507368,1394.55
C00672279,6.18
C00651562,1081.11
C00555888,1265
C00639757,89
C00639906,2808.12
C00551374,1955.42
C00673699,239.88
C00653626,6064.0599999999995
C00652750,536.52
C00391029,3317.08
C00659078,4087.5
C00638999,3258
C00661074,3000
C00638221,458
C00647081,3250
C00653840,6405
C00527457,2260.75
C00634337,1960
C00552604,416.09000000000003
C00659748,1788.3999999999999
C00591743,493
C00577080,839.26
C00566307,4831.04
C00555458,413
C00468256,117493
C00653691,1284
C00413096,215.97
C00479063,1355.07
C00648162,1550
C00653360,1000
C00655787,256
C00636571,41269.97
C00500199,150.14
C00629618,30
C00651539,274.25
C00647008,885.01
C00647495,4.95
C00592956,3000
C00656959,3905.7200000000003
C00658609,23.16
C00366948,7200
C00592279,447.77
C00654632,303.97
C00639799,1103.2
C00662932,5375
C00546580,179.36
C00651299,3400
C00656447,2000
C00649277,880
C00598375,458.62
C00639963,6008.24
C00661058,1097
C00663419,1679.92
C00561001,4805.45
C00651224,2462.17
C00655068,2500
C00345546,75630
C00592469,240
C00634014,730.65
C00509729,3871.7
C00472704,8108.84
C00541888,8245.86
C00654400,17096.25
C00639278,17952.2
C00238865,1214.99
C00656744,10300
C00652297,9500
C00649087,25945.079999999998
C00608695,6214
C00472159,19300
C00636670,16727.94
C00640714,31249.75
C00662452,66.75
C00608703,1596.88
C00546499,1050
C00649897,16845.7
C00662817,2100
C00646901,3662.49
C00632943,9636
C00663864,400
C00650234,1258.8
C00650077,344.31
C00472241,49479.520000000004
C00663161,3000
C00661595,379.94
C00509968,5747.64
C00637892,9102
C00607556,27729.35
C00650671,4105.43
C00411660,217113.16999999998
C00639526,7600.75
C00651315,13200
C00661256,650
