,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
1,H0CA04167,"FRAME, SEAN COLIN",Frame,DEM,CA,4,C,C00691790,SEAN FRAME FOR CONGRESS,5400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,H0GA06143,"BHUIYAN, MOHAMMAD ALI",Bhuiyan,REP,GA,6,C,C00633529,MOHAMMAD ALI BHUIYAN FOR CONGRESS,31725.75,NA,NA,NA,NA,NA,NA,6925,1200.8,NA,NA,NA,NA,NA,NA,NA
3,H0MD06231,"PARROTT, NEIL CONRAD MR.",Parrott,REP,MD,6,C,C00691931,PARROTT FOR CONGRESS,3018.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,H0PA09039,"HORNBERGER, BENJAMIN DAYTON",Hornberger,REP,PA,9,C,C00657064,FRIENDS OF BEN HORNBERGER,176.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,H2NY21115,"NELSON, PATRICK F",Nelson,DEM,NY,21,C,C00631127,NELSON FOR NEW YORK,61473.54,840,NA,NA,2746.17,21451.78,NA,NA,176,503.12,973.47,NA,NA,NA,64,NA
6,H4MN08091,"SANDMAN, RAY HENRY JOHN (SKIP)",Sandman,IND,MN,8,O,C00665125,SKIP SANDMAN CAMPAIGN COMMITTEE,20894.99,2399.61,NA,NA,1694.43,NA,NA,NA,NA,17.25,NA,1716.99,2256,NA,NA,NA
7,H4WI04241,"GEORGE, GARY R.",George,DEM,WI,4,C,C00683938,GARYGEORGE4CONGRESS,13052.72,NA,NA,NA,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,H6CA01202,"PETERSON, DAVID",Peterson,DEM,CA,1,C,C00672923,PETERSON FOR CONGRESS,11846.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,H6LA01225,"KEARNEY, HOWARD",Kearney,LIB,LA,1,C,C00675835,KEARNEY FOR CONGRESS 2018,11772.95,2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2560,NA,NA,NA
10,H6OH02292,"EVERHARD, JANET",Everhard,DEM,OH,2,C,C00635102,COMMITTEE TO ELECT JANET EVERHARD,50666.34,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,H6OK02258,"MCCARTHY, JOHN",Mccarthy,REP,OK,2,C,C00655555,MCCARTHY FOR CONGRESS,118047.94,40445,NA,NA,15250,NA,NA,2975,NA,17948.9,NA,NA,NA,NA,3750,NA
12,H6OR02181,"CRARY, JAMES ""JIM""",Crary,DEM,OR,2,C,C00634659,CRARY FOR CONGRESS,65320.06,NA,NA,NA,NA,20421,NA,NA,NA,700,NA,NA,NA,NA,700,NA
13,H6TN08250,"STOTTS-PEARSON, ERIKA",Stotts-Pearson,DEM,TN,8,C,C00684977,ERIKA STOTTS PEARSON FOR CONGRESS,7070.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,H8AK00132,"SHEIN, DIMITRI",Shein,DEM,AK,1,C,C00646521,DIMITRI FOR CONGRESS,202541.93,NA,NA,NA,NA,NA,NA,4599,605,NA,400,NA,NA,NA,NA,NA
15,H8AK00140,"GALVIN, ALYSE",Galvin,IND,AK,1,C,C00665711,ALYSE FOR ALASKA,1944869.1,1025056.66,71502.67,7000,35721,238754.33,NA,111765.62,5394.12,71314.92,37007.6,NA,NA,NA,NA,NA
16,H8AK01031,"NELSON, THOMAS JOHN",Nelson,REP,AK,1,C,C00681155,JOHN NELSON FOR ALASKANS,7689.04,3005,NA,NA,NA,NA,NA,NA,NA,NA,NA,2105,NA,NA,2805,NA
17,H8AL01066,"KENNEDY, ROBERT JR.",Kennedy,DEM,AL,1,C,C00667949,"COMMITTEE TO ELECT ROBERT KENNEDY, JR. FOR U.S. CONGRESS",159098.49,8115.6,NA,NA,1462.53,NA,NA,11820.25,NA,1225.74,268.48,NA,NA,NA,NA,NA
18,H8AL01082,"MCCONNELL, LIZZETTA HILL",Mcconnell,DEM,AL,1,C,C00678037,COMMITTEE TO ELECT LIZZETTA MCCONNELL FOR CONGRESS,7683,NA,NA,NA,1523,NA,85,NA,1523,NA,NA,NA,NA,NA,400,NA
19,H8AL02163,"WILLIAMS, AUDRI SCOTT 1955",Williams,DEM,AL,2,C,C00650390,COMMITTEE TO ELECT AUDRI SCOTT WILLIAMS,35015.22,868,NA,NA,420,NA,NA,NA,NA,NA,1360,NA,NA,NA,NA,NA
20,H8AL02171,"MOORE, FELIX BARRY",Moore,REP,AL,2,C,C00639096,BARRY MOORE FOR CONGRESS,145729.25,61104.13,300,NA,902.54,13925,NA,25763.87,900,18000,NA,NA,18715,18715,174.37,NA
21,H8AL02189,"AMASON, THOMAS MARRION III",Amason,REP,AL,2,C,C00651661,TOMMY AMASON FOR CONGRESS,12405.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,H8AL02197,"ISNER, TABITHA KAY",Isner,DEM,AL,2,C,C00657437,FRIENDS OF TABITHA ISNER,602567.49,405805.01,24513.3,NA,24966.78,108978.66,6374.7,95463.95,11223.54,949.85,8109.98,499.73,NA,2.00E+05,7103.53,NA
23,H8AL02205,"HOBSON, RICH",Hobson,REP,AL,2,C,C00664482,RICH HOBSON FOR CONGRESS,70182.5,6387.93,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA
24,H8AL02213,"BRIGHT, BOBBY NEAL SR.",Bright,REP,AL,2,C,C00669580,BOBBY BRIGHT FOR CONGRESS,431100.47,18463.63,13740,NA,12000,NA,390.6,12000,4245.81,450,NA,NA,2600,5250,NA,900
25,H8AL03054,"HAGAN, MALLORY",Hagan,DEM,AL,3,C,C00668574,MALLORY HAGAN FOR CONGRESS,540627.48,24568.19,NA,NA,23456,251247.52,702.69,38956,3186.91,7236.83,327,NA,NA,NA,1190.43,NA
26,H8AL03062,"WINFREY, ADIA MCCLELLAN DR",Winfrey,DEM,AL,3,C,C00669010,COMMITTEE TO ELECT DR. ADIA WINFREY,6897.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,H8AL04086,"NEIGHBORS, RICKY ALLEN",Neighbors,DEM,AL,4,C,C00648329,RICK NEIGHBORS FOR CONGRESS,16410.87,NA,NA,NA,NA,NA,411.01,NA,NA,NA,101.7,1000,NA,NA,NA,NA
28,H8AL04094,"AUMAN, JAMES LEE",Auman,DEM,AL,4,C,C00665182,LEE AUMAN FOR UNITED STATES CONGRESS,74382.58,1042.39,NA,NA,250,16945.61,92.67,NA,2552.44,40,NA,3000,NA,NA,NA,NA
29,H8AL04102,"BLACKMON, ANTHONY MR",Blackmon,REP,AL,4,C,C00667352,ANTHONY BLACKMON FOR CONGRESS,5097.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,H8AL05174,"CAIN, BRETT BUTLER",Cain,DEM,AL,5,C,C00640011,BUTLER CAIN FOR CONGRESS,2373.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,H8AL05182,"SWEENEY, TERRENCE MICHAEL",Sweeney,REP,AL,5,O,C00651927,MICHAEL SWEENEY FOR CONGRESS COMMITTEE,9566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,H8AL05190,"JOFFRION, PETER S.",Joffrion,DEM,AL,5,O,C00647677,PETER JOFFRION FOR CONGRESS,585923.61,79832.07,5000,6538.68,52227.14,NA,19572.38,245553.86,10882.11,3657.12,8810.73,5400,NA,479.6,1200,NA
33,H8AL05208,"HINCHMAN, ROBERT CLAYTON MR",Hinchman,GOP,AL,5,O,C00648162,HINCHMAN FOR CONGRESS,259406.14,169596.15,6290,NA,23205.02,6010.53,585,4815,NA,NA,3988.93,9759.28,NA,9355,1550,NA
34,H8AL05216,"HOLTZCLAW, WILLIAM LOVETTE",Holtzclaw,REP,AL,5,C,C00653691,HOLTZCLAWFORCONGRESS.COM,37451.43,NA,NA,NA,3004.58,NA,NA,NA,1676.96,NA,NA,3493.4,NA,NA,1284,NA
35,H8AL06099,"KLINE, DANNER",Kline,DEM,AL,6,C,C00638536,FRIENDS OF DANNER KLINE,283992.96,NA,NA,4739.46,19962.8,52847.02,1824.3,2713.72,5690.6,44753.37,990.13,NA,NA,NA,1612,NA
36,H8AR01029,"DESAI, CHINTAN",Desai,DEM,AR,1,C,C00661371,CHINTAN DESAI FOR CONGRESS,128810.44,8108,NA,NA,1062.29,20655,NA,1570.1,2317.41,5537.21,1094.03,NA,8108,NA,NA,NA
37,H8AR02134,"SPENCER, PAUL JOHN MR.",Spencer,DEM,AR,2,C,C00648741,PAUL SPENCER FOR CONGRESS,260593.04,20496.32,NA,NA,277.87,29305.45,8696.91,11552,5264.6,24154.34,439.8,NA,NA,NA,712.49,830
38,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",Combs,DEM,AR,2,C,C00652289,COMBS FOR ARKANSAS,27649.35,3427.73,NA,NA,600,NA,NA,NA,707.8,4.9,NA,NA,NA,NA,NA,NA
39,H8AR02159,"TUCKER, EVERETT CLARKE IV",Tucker,DEM,AR,2,C,C00671156,CLARKE TUCKER FOR CONGRESS,2367158.33,2796669.9,73306.4,1000,94965.99,212456.93,NA,110755.25,54837.6,72261.18,18700.14,NA,1238485,1244087,7168,39.96
40,H8AR02167,"DUNKLEY, JONATHAN",Dunkley,DEM,AR,2,C,C00668830,JONATHAN DUNKLEY FOR CONGRESS,31835.92,2560,NA,NA,100,NA,NA,2560,2948.3,NA,NA,NA,NA,NA,100,NA
41,H8AR03066,"RYERSE, ROBERT",Ryerse,REP,AR,3,C,C00639849,ROBERT RYERSE 2018,46184.03,NA,NA,NA,NA,NA,NA,7290.35,NA,NA,NA,NA,NA,NA,NA,NA
42,H8AR03074,"MAHONY, JOSH",Mahony,DEM,AR,3,C,C00650093,JOSH MAHONY FOR CONGRESS,304625.93,4441.75,NA,NA,26384.98,71375,407.1,65590.62,3913.22,345.31,NA,NA,NA,NA,2740,NA
43,H8AR04122,"MCQUEEN, LEE",Mcqueen,IND,AR,4,C,C00658898,MCQUEEN4CONGRESS,265.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.53,NA,NA,NA,NA,NA
44,H8AR04130,"SHAMEL, HAYDEN CATHERINE",Shamel,DEM,AR,4,C,C00659235,HAYDEN SHAMEL FOR ARKANSAS,154607.88,19168.6,NA,NA,1798.1,NA,NA,59.06,7603.63,3910.6,8523.7,268.37,6410,7919.84,267.51,3232.7
45,H8AZ01211,"CAVANAUGH, KEVIN",Cavanaugh,REP,AZ,1,C,C00634824,CAVANAUGH FOR CONGRESS,7146.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,H8AZ01229,"SMITH, STEVE",Smith,REP,AZ,1,C,C00641431,STEVE SMITH FOR CONGRESS,445328.98,90884.52,NA,4358.9,54359.17,NA,2573.44,20122.17,4005.86,36119.47,1345.3,2500,NA,NA,2500,NA
47,H8AZ01237,"SHEDD, TIFFANY",Shedd,REP,AZ,1,C,C00657155,TIFFANY SHEDD FOR CONGRESS COMMITTEE,626564.19,349100.38,NA,47900,16010.59,24207.65,NA,60083.98,260,NA,9590.6,NA,NA,NA,NA,NA
48,H8AZ02110,"KOVACS, WILLIAM RICHARD",Kovacs,DEM,AZ,2,O,C00636175,BILLY KOVACS FOR CONGRESS,55963.31,3694.92,NA,NA,NA,13900,233.49,NA,529.73,NA,1462.41,NA,300,NA,2274.31,NA
49,H8AZ02136,"HEINZ, MATTHEW GERALD",Heinz,DEM,AZ,2,O,C00647727,DR MATT HEINZ FOR ARIZONA,1090322.64,1030603.74,28000,16500,126402.82,149695.02,NA,44135.7,3184.82,4960,3078.32,NA,NA,543670,400,NA
50,H8AZ02144,"MATIELLA, MARIA MARY",Matiella,DEM,AZ,2,O,C00648014,MATIELLA FOR CONGRESS,381831.55,45350,NA,NA,67021.11,90411.02,907.89,96921.11,8138.6,961.67,1547.9,NA,NA,NA,NA,NA
