,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
1,H0GA06143,BHUIYAN,Bhuiyan,REP,GA,6,C,C00633529,MOHAMMAD ALI BHUIYAN FOR CONGRESS,31725.75,NA,NA,NA,NA,NA,NA,6925,1200.8,NA,NA,NA,NA,NA,NA,NA
2,H0NY13074,GRIMM,Grimm,REP,NY,11,C,C00656751,FRIENDS OF MICHAEL GRIMM,489368.78,NA,NA,NA,NA,NA,NA,600,1734.59,252143.63,NA,NA,NA,NA,6750,NA
3,H0OK01089,DAHM,Dahm,REP,OK,1,O,C00641126,FAMILIES FOR NATHAN DAHM,135838.37,NA,NA,NA,NA,NA,NA,43880,7265.14,33016.86,671.43,250,NA,NA,NA,NA
4,H0OK05155,GUILD,Guild,DEM,OK,5,C,C00651984,TOM GUILD FOR CONGRESS,92635.86,3368,NA,NA,NA,NA,1000,NA,NA,7826.31,NA,NA,NA,NA,NA,NA
5,H0PA09039,HORNBERGER,Hornberger,REP,PA,9,C,C00657064,FRIENDS OF BEN HORNBERGER,176.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,H0TX27038,DUERR,Duerr,REP,TX,27,C,C00682047,JAMES DUERR FOR CONGRESS,65137.88,41822.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,H2CA39136,CHEN,Chen,DEM,CA,39,C,C00665695,JAY CHEN FOR CONGRESS,324440.65,NA,NA,17500,NA,NA,NA,12000,4851,100,NA,1277.29,NA,NA,NA,NA
8,H2HI02128,CASE,Case,DEM,HI,1,I,C00680918,CASE FOR CONGRESS,481140.63,31106.02,NA,NA,3424.02,NA,52.35,NA,18438.28,58258.69,614.71,NA,NA,NA,15084.37,NA
9,H2IL10092,RUTAGWIBIRA,Rutagwibira,REP,IL,10,C,C00656272,ALOYS RUTAGWIBIRA FOR CONGRESS,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,NA,NA,NA,NA,NA
10,H2IN07096,MINIEAR,Miniear,REP,IN,7,C,C00672279,MINIEAR FOR CONGRESS,1375.72,NA,NA,NA,NA,NA,NA,NA,NA,4.12,NA,NA,NA,NA,6.18,NA
11,H2MI11133,BENTIVOLIO,Bentivolio,REP,MI,11,O,C00656033,BENTIVOLIO FOR CONGRESS,32020.79,150,NA,NA,3911.92,500,NA,NA,6917.4,215.8,600,NA,NA,NA,2350,NA
12,H2NV04011,HORSFORD,Horsford,DEM,NV,4,I,C00668228,NEVADANS FOR STEVEN HORSFORD,2248693.96,1126085.48,143500,8500,34000,289177.8,NA,183356.1,6748.84,150784.28,24875.37,NA,666,NA,NA,NA
13,H2NY01042,VILORIA-FISHER,Viloria-Fisher,DEM,NY,1,C,C00637793,VIVIAN FOR LONG ISLAND,280217.44,250,NA,NA,7800.96,1000,NA,7750,1119.13,11514.79,29.33,NA,NA,NA,NA,NA
