"","candidate_id","candidate.x","party","state.x","district.x","incumbent_challenge","state.y","district.y","region","hold_flip","candidate.y","lose_per","win_per","delta"
"1","H0CA07111","FITZGERALD, JOHN","REP","CA",11,"C","CA",11,"west","Dem Hold","Fitzgerald",25.9,74.1,"48.2"
"2","H0CA19173","DENHAM, JEFF","REP","CA",10,"C","CA",10,"west","Dem Pickup","Denham",47.7,52.3,"4.6"
"3","H0IL14080","HULTGREN, RANDY","REP","IL",14,"I","IL",14,"midwest","Dem Pickup","Hultgren",47.5,52.5,"5"
"4","H0KS03137","YODER, KEVIN","REP","KS",3,"I","KS",3,"midwest","Dem Pickup","Yoder",44.2,53.3,"9.1"
"5","H0OR04081","ROBINSON, ART DR.","REP","OR",4,"C","OR",4,"west","Dem Hold","Robinson",40.9,56,"15.1"
"6","H0PA04220","ROTHFUS, KEITH MR.","REP","PA",17,"I","PA",17,"northeast","Dem Pickup","Rothfus",43.7,56.3,"12.6"
"7","H0TX07055","CULBERSON, JOHN","REP","TX",7,"I","TX",7,"south","Dem Pickup","Culberson",47.5,52.5,"5"
"8","H0VA02118","TAYLOR, SCOTT W. MR.","REP","VA",2,"I","VA",2,"south","Dem Pickup","Taylor",48.9,51.1,"2.2"
"9","H2AZ09035","ROGERS, WENDY","REP","AZ",1,"C","AZ",1,"west","Dem Hold","Rogers",46.2,53.8,"7.6"
"10","H2CA20094","VALADAO, DAVID","REP","CA",21,"I","CA",21,"west","Dem Pickup","Valadao",49.6,50.4,"0.8"
"11","H2FL20043","KAUFMAN, JOSEPH ""JOE""","REP","FL",23,"C","FL",23,"south","Dem Hold","Kaufman",36,58.5,"22.5"
"12","H2IA01055","BLUM, RODNEY","REP","IA",1,"I","IA",1,"midwest","Dem Pickup","Blum",45.9,51,"5.1"
"13","H2NV04045","TARKANIAN, DANNY","REP","NV",3,NA,"NV",3,"west","Dem Hold","Tarkanian",42.8,51.9,"9.1"
"14","H2TX01062","MCKELLAR, SHIRLEY JONETTA  DR","DEM","TX",1,"C","TX",1,"south","GOP Hold","McKellar",26.3,72.3,"46"
"15","H2TX03126","SESSIONS, PETE","REP","TX",32,"C","TX",32,"south","Dem Pickup","Sessions",45.8,52.3,"6.5"
"16","H2UT04023","LOVE, MIA","REP","UT",4,"I","UT",4,"west","Dem Pickup","Love",49.9,50.1,"0.2"
"17","H4CA02098","MENSING, DALE KENNETH","REP","CA",2,"C","CA",2,"west","Dem Hold","Mensing",23,77,"54"
"18","H4CA24142","FAREED, JUSTIN","REP","CA",24,"C","CA",24,"west","Dem Hold","Fareed",41.4,58.6,"17.2"
"19","H4CA25123","KNIGHT, STEVE","REP","CA",25,"I","CA",25,"west","Dem Pickup","Knight",45.6,54.4,"8.8"
"20","H4CA45097","WALTERS, MIMI","REP","CA",45,"C","CA",45,"west","Dem Pickup","Walters",47.9,52.1,"4.2"
"21","H4FL19058","FREEMAN, APRIL JUNE","DEM","FL",17,"O","FL",17,"south","GOP Hold","Freeman-Allen",37.7,62.3,"24.6"
"22","H4FL26038","CURBELO, CARLOS MR.","REP","FL",26,"I","FL",26,"south","Dem Pickup","Curbelo",49.1,50.9,"1.8"
"23","H4IA03115","YOUNG, DAVID","REP","IA",3,"I","IA",3,"midwest","Dem Pickup","Young",47.2,49.3,"2.1"
"24","H4IL17077","FAWELL, WILLIAM W","REP","IL",17,"C","IL",17,"midwest","Dem Hold","Fawell",37.9,62.1,"24.2"
"25","H4KS01059","LAPOLICE, ALAN","DEM","KS",1,"C","KS",1,"midwest","GOP Hold","LaPolice",31.6,68.4,"36.8"
"26","H4ME02234","POLIQUIN, BRUCE L","REP","ME",2,"I","ME",2,"northeast","Dem Pickup","Poliquin",46.2,45.5,"-0.7"
"27","H4MI08135","BISHOP, MIKE","REP","MI",8,"I","MI",8,"midwest","Dem Pickup","Bishop",46.8,50.6,"3.8"
"28","H4NJ03130","MACARTHUR, THOMAS","REP","NJ",3,"I","NJ",3,"northeast","Dem Pickup","MacArthur",48.7,50,"1.3"
"29","H4NY22051","TENNEY, CLAUDIA","REP","NY",22,"I","NY",22,"northeast","Dem Pickup","Tenney",49.1,50.9,"1.8"
"30","H4OH04046","GARRETT, JANET PATRICIA MRS.","DEM","OH",4,"C","OH",4,"midwest","GOP Hold","Garrett",34.7,65.3,"30.6"
"31","H4OK05132","RUSSELL, STEVEN DANE","REP","OK",5,"I","OK",5,"south","Dem Pickup","Russell",49.3,50.7,"1.4"
"32","H4PA21069","DINICOLA, RONALD A. MR.","DEM","PA",16,"C","PA",16,"northeast","GOP Hold","DiNicola",47.3,51.6,"4.3"
"33","H4VA07143","BRAT, DAVID ALAN MR.","REP","VA",7,"I","VA",7,"south","Dem Pickup","Brat",48.4,50.4,"2"
"34","H4VA10089","COMSTOCK, BARBARA","REP","VA",10,"I","VA",10,"south","Dem Pickup","Comstock",43.8,56.2,"12.4"
"35","H4WA07073","KELLER, CRAIG","REP","WA",7,"C","WA",7,"west","Dem Hold","Keller",16.4,83.6,"67.2"
"36","H6CA03067","SCHAUPP, CHARLES EUGENE","REP","CA",3,"C","CA",3,"west","Dem Hold","Schaupp",41.9,58.1,"16.2"
"37","H6CA17141","COHEN, RONALD H","REP","CA",17,"C","CA",17,"west","Dem Hold","Cohen",24.7,75.3,"50.6"
"38","H6CA29203","BERNAL, BENITO BENNY","REP","CA",29,"C","CA",29,"west","Dem Hold","Bernal",19.4,80.6,"61.2"
"39","H6CA31134","FLYNN, SEAN","REP","CA",31,"C","CA",31,"west","Dem Hold","Flynn",41.3,58.7,"17.4"
"40","H6CA33106","WRIGHT, KENNETH","REP","CA",33,"C","CA",33,"west","Dem Hold","Wright",30,70,"40"
"41","H6CA44145","NAVARRO, OMAR","REP","CA",43,"C","CA",43,"west","Dem Hold","Navarro",22.3,77.7,"55.4"
"42","H6FL09195","LIEBNITZKY, WAYNE","REP","FL",9,"C","FL",9,"south","Dem Hold","Liebnitzky",42,58,"16"
"43","H6IA02161","PETERS, CHRISTOPHER","REP","IA",2,"C","IA",2,"midwest","Dem Hold","Peters",42.6,54.8,"12.2"
"44","H6IL06117","ROSKAM, PETER","REP","IL",6,"I","IL",6,"midwest","Dem Pickup","Roskam",46.4,53.6,"7.2"
"45","H6IL11133","STELLA, DOMINICK J. M.D.","REP","IL",11,"C","IL",11,"midwest","Dem Hold","Stella",36.2,63.8,"27.6"
"46","H6IL18161","RODRIGUEZ, JUNIUS","DEM","IL",18,"C","IL",18,"midwest","GOP Hold","Rodriguez",32.8,67.2,"34.4"
"47","H6KY05111","STEPP, KENNETH STEPHENSON","DEM","KY",5,"C","KY",5,"south","GOP Hold","Stepp",21.1,78.9,"57.8"
"48","H6MD06212","HOEBER, AMIE","REP","MD",6,"O","MD",6,"south","Dem Hold","Hoeber",38,59,"21"
"49","H6ME01207","HOLBROOK, MARK IRVING DR","REP","ME",1,"C","ME",1,"northeast","Dem Hold","Holbrook",32.4,58.8,"26.4"
"50","H6MI07223","DRISKELL, GRETCHEN","DEM","MI",7,"C","MI",7,"midwest","GOP Hold","Driskell",46.2,53.8,"7.6"
"51","H6MI12264","JONES, JEFF","REP","MI",12,"C","MI",12,"midwest","Dem Hold","Jones",28.9,68.1,"39.2"
"52","H6MN02149","LEWIS, JASON MARK MR.","REP","MN",2,"I","MN",2,"midwest","Dem Pickup","Lewis",47.2,52.8,"5.6"
"53","H6MN04236","RYAN, GREGORY","REP","MN",4,"C","MN",4,"midwest","Dem Hold","Ryan",29.8,66,"36.2"
"54","H6MN07304","HUGHES, DAVID RUSSELL MR.","REP","MN",7,"C","MN",7,"midwest","Dem Hold","Hughes",47.9,52.1,"4.2"
"55","H6MO05189","TURK, JACOB","REP","MO",5,"C","MO",5,"midwest","Dem Hold","Turk",35.6,61.7,"26.1"
"56","H6NC09200","HARRIS, MARK EVERETTE","REP","NC",9,"C","NC",9,"south",NA,"Harris",49.4,48.8,"-0.6"
"57","H6NJ12136","LANCE, LEONARD","REP","NJ",7,"I","NJ",7,"northeast","Dem Pickup","Lance",46.7,51.7,"5"
"58","H6NY11174","DONOVAN, DAN","REP","NY",11,"I","NY",11,"northeast","Dem Pickup","Donovan",46.6,53,"6.4"
"59","H6NY19169","FASO, JOHN J. MR.","REP","NY",19,"I","NY",19,"northeast","Dem Pickup","Faso",46.2,51.4,"5.2"
"60","H6OH11160","GOLDSTEIN, BEVERLY A.","REP","OH",11,"C","OH",11,"midwest","Dem Hold","Goldstein",17.8,82.2,"64.4"
"61","H6PA01165","LEIB, BRYAN","DEM","PA",3,"C","PA",3,"northeast","Dem Hold","Leib",6.6,93.4,"86.8"
"62","H6RI02284","CAIOZZO, SALVATORE","REP","RI",2,"C","RI",2,"northeast","Dem Hold","Caiozzo",36.4,63.6,"27.2"
"63","H6TN08250","STOTTS-PEARSON, ERIKA","DEM","TN",8,"C","TN",8,"south","GOP Hold","Pearson",30.1,67.7,"37.6"
"64","H6TX15162","GONZALEZ, VICENTE","DEM","TX",15,"I","NY",15,"northeast","Dem Hold","Gonzalez",4,96,"92"
"65","H6TX15204","WESTLEY, TIMMY LEE","REP","TX",15,"C","TX",15,"south","Dem Hold","Westley",38.8,59.7,"20.9"
"66","H6TX18158","PATE, AVA","REP","TX",18,"C","TX",18,"south","Dem Hold","Pate",20.8,75.2,"54.4"
"67","H6TX24149","MCDOWELL, JAN","DEM","TX",24,"C","TX",24,"south","GOP Hold","McDowell",47.5,50.6,"3.1"
"68","H6TX34031","GONZALEZ, REY DR.","REP","TX",34,"C","TX",34,"south","Dem Hold","Gonzalez",40,60,"20"
"69","H8AL01066","KENNEDY, ROBERT JR.","DEM","AL",1,"C","AL",1,"south","GOP Hold","Kennedy",36.8,63.2,"26.4"
"70","H8AL02197","ISNER, TABITHA KAY","DEM","AL",2,"C","AL",2,"south","GOP Hold","Isner",38.5,61.5,"23"
"71","H8AL03054","HAGAN, MALLORY","DEM","AL",3,"C","AL",3,"south","GOP Hold","Hagan",36.2,63.8,"27.6"
"72","H8AL04094","AUMAN, JAMES LEE","DEM","AL",4,"C","AL",4,"south","GOP Hold","Auman",20.1,79.9,"59.8"
"73","H8AL05190","JOFFRION, PETER S.","DEM","AL",5,"O","AL",5,"south","GOP Hold","Joffrion",38.9,61.1,"22.2"
"74","H8AL06099","KLINE, DANNER","DEM","AL",6,"C","AL",6,"south","GOP Hold","Kline",30.8,69.2,"38.4"
"75","H8AR01029","DESAI, CHINTAN","DEM","AR",1,"C","AR",1,"south","GOP Hold","Desai",28.8,68.9,"40.1"
"76","H8AR02159","TUCKER, EVERETT CLARKE IV","DEM","AR",2,"C","AR",2,"south","GOP Hold","Tucker",45.8,52.1,"6.3"
"77","H8AR03074","MAHONY, JOSH","DEM","AR",3,"C","AR",3,"south","GOP Hold","Mahony",32.6,64.8,"32.2"
"78","H8AR04130","SHAMEL, HAYDEN CATHERINE","DEM","AR",4,"C","AR",4,"south","GOP Hold","Shamel",31.3,66.8,"35.5"
"79","H8AZ02185","MARQUEZ PETERSON, LEA","REP","AZ",2,"O","AZ",2,"west","Dem Pickup","Marquez Peterson",45.3,54.7,"9.4"
"80","H8AZ03159","PIERSON, JOE NICOLAS","REP","AZ",3,"C","AZ",3,"west","Dem Hold","Pierson",36.1,63.9,"27.8"
"81","H8AZ04140","BRILL, DAVID H","DEM","AZ",4,"C","AZ",4,"west","GOP Hold","Brill",30.5,68.2,"37.7"
"82","H8AZ05154","GREENE, JOAN","DEM","AZ",5,"C","AZ",5,"west","GOP Hold","Greene",40.6,59.4,"18.8"
"83","H8AZ06103","MALIK, ANITA","DEM","AZ",6,NA,"AZ",6,"west","GOP Hold","Malik",44.8,55.2,"10.4"
"84","H8AZ08083","TIPIRNENI, HIRAL VYAS","DEM","AZ",6,"C","AZ",8,"west","GOP Hold","Tipirneni",44.5,55.5,"11"
"85","H8AZ09024","FERRARA, STEVE MD","REP","AZ",9,"O","AZ",9,"west","Dem Hold","Ferrara",38.9,61.1,"22.2"
"86","H8CA01257","DENNEY, AUDREY L","DEM","CA",1,"C","CA",1,"west","GOP Hold","Denney",45.1,54.9,"9.8"
"87","H8CA04210","MORSE, JESSICA","DEM","CA",4,"C","CA",4,"west","GOP Hold","Morse",45.9,54.1,"8.2"
"88","H8CA07056","GRANT, ANDREW","REP","CA",7,"C","CA",7,"west","Dem Hold","Grant",45,55,"10"
"89","H8CA08120","DONNELLY, TIMOTHY M.","REP","CA",8,"C","CA",8,"west","GOP Hold","Donnelly",40,60,"20"
"90","H8CA09144","LIVENGOOD, MARLA","REP","CA",9,"C","CA",9,"west","Dem Hold","Livengood",43.5,56.5,"13"
"91","H8CA12270","REMMER, LISA","REP","CA",12,"C","CA",12,"west","Dem Hold","Remmer",13.2,86.8,"73.6"
"92","H8CA15117","PETERS, RUDY PETERS","REP","CA",15,"C","CA",15,"west","Dem Hold","Peters",27,73,"46"
"93","H8CA19051","AGUILERA, JUSTIN","REP","CA",19,"C","CA",19,"west","Dem Hold","Aguilera",26.2,73.8,"47.6"
"94","H8CA22139","JANZ, ANDREW","DEM","CA",22,"C","CA",22,"west","GOP Hold","Janz",47.3,52.7,"5.4"
"95","H8CA23103","MATTA, TATIANA","DEM","CA",23,"C","CA",23,"west","GOP Hold","Matta",36.3,63.7,"27.4"
"96","H8CA26114","SABATO, ANTONIO","REP","CA",26,"C","CA",26,"west","Dem Hold","Sabato",38.1,61.9,"23.8"
"97","H8CA27112","WITT, BRYAN","DEM","CA",27,"C","CA",27,"west","Dem Hold","Witt",20.8,79.2,"58.4"
"98","H8CA28185","NALBANDIAN, JOHNNY","REP","CA",28,"C","CA",28,"west","Dem Hold","Nalbandian",21.6,78.4,"56.8"
"99","H8CA32088","SCOTT, JOSHUA","REP","CA",32,"C","CA",32,"west","Dem Hold","Scott",31.2,68.8,"37.6"
"100","H8CA35115","VALIENTE, CHRISTIAN","REP","CA",35,"C","CA",35,"west","Dem Hold","Valiente",30.6,69.4,"38.8"
"101","H8CA36170","PELZER, KIMBERLIN BROWN","REP","CA",36,"C","CA",36,"west","Dem Hold","Pelzer",41,59,"18"
"102","H8CA37293","BASSILIAN, RON","REP","CA",37,"C","CA",37,"west","Dem Hold","Bassilian",10.9,89.1,"78.2"
"103","H8CA39240","KIM, YOUNG","REP","CA",39,NA,"CA",39,"west","Dem Pickup","Kim",48.4,51.6,"3.2"
"104","H8CA41170","SMITH, AJA","REP","CA",41,"C","CA",41,"west","Dem Hold","Smith",34.9,65.1,"30.2"
"105","H8CA42061","ROHRABACHER, DANA","REP","CA",48,"I","CA",48,"west","Dem Pickup","Rohrabacher",46.4,53.6,"7.2"
"106","H8CA42228","PEACOCK, JULIA C.","DEM","CA",42,"C","CA",42,"west","GOP Hold","Peacock",43.5,56.5,"13"
