"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"1","ROHRABACHER FOR CONGRESS","C00224691","ROHRABACHER, DANA","H8CA42061","REP","CA",48,"west","I","Dem Pickup",53.6,46.4,7.2,2942532.46,153527.69,130800,45937,308107.93,232410.32,252058.87,NA,33296.12,139004.79,84118.57,NA,NA,NA,NA,46.99
"2","PETE SESSIONS FOR CONGRESS","C00303305","SESSIONS, PETE","H2TX03126","REP","TX",32,"south","C","Dem Pickup",52.3,45.8,6.5,5821717.78,967130.46,NA,12500,879144.31,734852.81,602090.2,833.1,27470.24,220834.19,612391.13,NA,907191.28,NA,257.02,2027.26
"3","CULBERSON FOR CONGRESS","C00343236","CULBERSON, JOHN","H0TX07055","REP","TX",7,"south","I","Dem Pickup",52.5,47.5,5,3802258.06,62912.05,NA,52200.18,569425.16,98980.5,NA,NA,27534.75,127777.94,8400.45,NA,NA,NA,NA,21309.87
"4","ROSKAM FOR CONGRESS COMMITTEE","C00410969","ROSKAM, PETER","H6IL06117","REP","IL",6,"midwest","I","Dem Pickup",53.6,46.4,7.2,7428193.64,337067.95,NA,39288.72,680536.77,556768.8,643074.67,NA,14012.1,49020.32,452751.12,NA,NA,NA,NA,NA
"5","FRIENDS OF ERIK PAULSEN","C00439661","PAULSEN, ERIK MR.","H8MN03077","REP","MN",3,"midwest","I","Dem Pickup",55.7,44.3,11.4,6330789.2,NA,157923.5,5000,712483.12,NA,218669.32,NA,93768.87,4115,303652.81,NA,NA,NA,NA,NA
"6","LANCE FOR CONGRESS","C00444224","LANCE, LEONARD","H6NJ12136","REP","NJ",7,"northeast","I","Dem Pickup",51.7,46.7,5,2894435.37,NA,NA,59647,2500,250895.96,282830.56,NA,13433.78,5754.69,40005.43,NA,NA,NA,NA,55172.51
"7","COMMITTEE TO ELECT WAYNE E HARMON","C00466805","HARMON, WAYNE E","H8IN07150","REP","IN",7,"midwest","C","Dem Hold",64.9,35.1,29.8,1241.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","RANDY HULTGREN FOR CONGRESS","C00467522","HULTGREN, RANDY","H0IL14080","REP","IL",14,"midwest","I","Dem Pickup",52.5,47.5,5,2406545.43,93395.08,81318.86,10000,802828.22,281483.41,NA,NA,3993.12,46916.32,123650.84,NA,NA,NA,NA,NA
"9","YODER FOR CONGRESS, INC","C00472365","YODER, KEVIN","H0KS03137","REP","KS",3,"midwest","I","Dem Pickup",53.3,44.2,9.1,5412066.28,458832.42,202478.44,45140.33,964671.72,526492.11,NA,NA,8711.8,238878.35,53305.88,3000,NA,NA,NA,2895.6
"10","DENHAM FOR CONGRESS","C00473272","DENHAM, JEFF","H0CA19173","REP","CA",10,"west","C","Dem Pickup",52.3,47.7,4.6,5081760.23,3320618.47,97500,10000,353386.39,471371.63,NA,NA,8094.09,170435.41,30446.15,182951.25,NA,NA,NA,11809.76
