"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website"
"1","ALASKANS FOR DON YOUNG","C00012229","YOUNG, DONALD E","H6AK00045","REP","AK",0,"west","I","GOP Hold",53.3,46.5,"6.8",1421339.38,963687.57,NA,52275,64610.3,203193.94,143354.41,NA,85520.57,NA,15562.03,139034.9,309610,4286.42,27058.82,1018.09
"2","SENSENBRENNER COMMITTEE","C00083428","SENSENBRENNER, F. JAMES JR.","H8WI09050","REP","WI",5,"midwest","I","GOP Hold",62,38,"24",542333.7,305,NA,NA,76000,56729.75,6904.46,NA,9572.03,3854.01,76152,305,NA,NA,NA,1749.6
"3","FRIENDS OF CHRIS SMITH","C00096412","SMITH, CHRISTOPHER H","H8NJ04014","REP","NJ",4,"northeast","I","GOP Hold",55.4,43.1,"12.3",1653404.94,35085.89,NA,1072.65,58043.15,14298.85,220727.45,1000,9655.47,27797.12,86938.74,2448,NA,858.8,NA,3300
"4","HAL ROGERS FOR CONGRESS","C00116632","ROGERS, HAROLD DALLAS","H0KY05015","REP","KY",5,"south","I","GOP Hold",78.9,21.1,"57.8",1113718.86,44000,NA,NA,263412.69,111134.88,400,NA,NA,1348.27,62433.6,NA,NA,NA,NA,NA
"5","HOYER FOR CONGRESS","C00140715","HOYER, STENY","H2MD05155","DEM","MD",5,"south","I","Dem Hold",70.4,27.1,"43.3",4883015.14,35000,283.09,NA,257580,306645.43,415220.9,NA,261829.07,62216.19,23549.1,NA,NA,NA,NA,31200
"6","KAPTUR FOR CONGRESS","C00154625","KAPTUR, MARCY HON.","H2OH09031","DEM","OH",9,"midwest","I","Dem Hold",67.8,32.2,"35.6",749783.64,NA,NA,195.34,8825,185445.79,NA,86.12,1618.59,8821.16,8758.77,NA,NA,NA,NA,6200
"7","LEVIN FOR CONGRESS","C00156612","LEVIN, SANDER M MR","H2MI17023","DEM","MI",9,"midwest","I","Dem Hold",59.7,36.8,"22.9",258314.76,NA,NA,NA,29075.31,28835.31,1142.9,NA,3189.87,16945,2391,NA,NA,NA,NA,3765.17
"8","VISCLOSKY FOR CONGRESS","C00166504","VISCLOSKY, PETER J.","H4IN01012","DEM","IN",1,"midwest","I","Dem Hold",65.1,34.9,"30.2",1122295.28,95454.86,31760,NA,198798.64,154903,140873.31,NA,13829.76,30231.71,105684.23,NA,534.96,5039,NA,380.8
"9","CITIZENS FOR WATERS","C00167585","WATERS, MAXINE","H4CA23011","DEM","CA",43,"west","I","Dem Hold",77.7,22.3,"55.4",1519352.74,55557.15,NA,NA,NA,145057.75,NA,NA,445.6,69585.29,531231.7,40200,NA,11489,NA,15750
"10","DAVIS FOR CONGRESS/FRIENDS OF DAVIS","C00172619","DAVIS, DANNY K","H4IL07037","DEM","IL",7,"midwest","I","Dem Hold",87.6,12.4,"75.2",536602.85,7086,NA,NA,57609.35,73533.7,NA,463.05,NA,4017.41,26741.19,4178,NA,NA,NA,75
"11","PRICE FOR CONGRESS","C00195628","PRICE, DAVID E.","H6NC04037","DEM","NC",4,"south","I","Dem Hold",72.3,24.1,"48.2",1125907.27,63461.58,23200,NA,NA,72000,333944.18,NA,4498.64,37857.17,64676.85,12482.07,NA,NA,NA,21600
"12","UPTON FOR ALL OF US","C00200584","UPTON, FREDERICK STEPHEN","H6MI04113","REP","MI",6,"midwest","I","GOP Hold",50.2,45.7,"4.5",3762919.03,1577605.54,64964,84100,460597.9,208390.14,344609.07,20843.96,103824.85,202740.24,173360.31,NA,NA,1601.4,NA,NA
"13","JOHN LEWIS FOR CONGRESS","C00202416","LEWIS, JOHN R.","H6GA05217","DEM","GA",5,"south","I","Dem Hold",100,0,"100",2028114.96,518.01,NA,NA,754191.42,671824.15,NA,NA,5177.11,112266.22,4809.79,NA,NA,NA,NA,NA
