"","committee_name","committee_id","candidate_name","candidate_id","party","state","district","region","incumbent_challenge","hold_flip","win_per","lose_per","delta","total","advertise","poll","research","consulting","fundraise","pay","materials","travel","event","mail","radio","television","newspaper","smedia","website","per_advertise","per_poll","per_research","per_consulting","per_fundraise","per_pay","per_materials","per_travel","per_event","per_mail","per_radio","per_television","per_newspaper","per_smedia","per_website"
"1","ALASKANS FOR DON YOUNG","C00012229","YOUNG, DONALD E","H6AK00045","REP","AK",0,"west","I","GOP Hold",53.3,46.5,"6.8",1421339.38,963687.57,NA,52275,64610.3,203193.94,143354.41,NA,85520.57,NA,15562.03,139034.9,309610,4286.42,27058.82,1018.09,0.67801369860026,NA,0.0367786896891578,0.0454573347570233,0.142959480936917,0.100858677397653,NA,0.0601690005943549,NA,0.0109488488245503,0.0978196354483614,0.217829748726163,0.00301576109148541,0.0190375503421287,0.000716289166630984
"2","SENSENBRENNER COMMITTEE","C00083428","SENSENBRENNER, F. JAMES JR.","H8WI09050","REP","WI",5,"midwest","I","GOP Hold",62,38,"24",542333.7,305,NA,NA,76000,56729.75,6904.46,NA,9572.03,3854.01,76152,305,NA,NA,NA,1749.6,0.000562384376998885,NA,NA,0.140135123448902,0.104603033150992,0.0127310178216843,NA,0.0176497053382447,0.00710634430425401,0.1404153936958,0.000562384376998885,NA,NA,NA,0.00322605805245
"3","FRIENDS OF CHRIS SMITH","C00096412","SMITH, CHRISTOPHER H","H8NJ04014","REP","NJ",4,"northeast","I","GOP Hold",55.4,43.1,"12.3",1653404.94,35085.89,NA,1072.65,58043.15,14298.85,220727.45,1000,9655.47,27797.12,86938.74,2448,NA,858.8,NA,3300,0.0212203853703256,NA,0.000648752144166208,0.0351052235273955,0.00864812342946066,0.133498724154048,0.000604812514954745,0.0058397490937701,0.0168120460556989,0.0525816379863967,0.00148058103660922,NA,0.000519412987843135,NA,0.00199588129935066
"4","HAL ROGERS FOR CONGRESS","C00116632","ROGERS, HAROLD DALLAS","H0KY05015","REP","KY",5,"south","I","GOP Hold",78.9,21.1,"57.8",1113718.86,44000,NA,NA,263412.69,111134.88,400,NA,NA,1348.27,62433.6,NA,NA,NA,NA,NA,0.0395072774470211,NA,NA,0.236516323338549,0.0997871940500316,0.000359157067700191,NA,NA,0.00121060174917034,0.0560586717549167,NA,NA,NA,NA,NA
"5","HOYER FOR CONGRESS","C00140715","HOYER, STENY","H2MD05155","DEM","MD",5,"south","I","Dem Hold",70.4,27.1,"43.3",4883015.14,35000,283.09,NA,257580,306645.43,415220.9,NA,261829.07,62216.19,23549.1,NA,NA,NA,NA,31200,0.00716770253552808,5.79744260223613e-05,NA,0.0527501948314664,0.0627983778891171,0.0850337113638358,NA,0.0536203682546845,0.0127413469375399,0.00482265553655441,NA,NA,NA,NA,0.00638949483167075
"6","KAPTUR FOR CONGRESS","C00154625","KAPTUR, MARCY HON.","H2OH09031","DEM","OH",9,"midwest","I","Dem Hold",67.8,32.2,"35.6",749783.64,NA,NA,195.34,8825,185445.79,NA,86.12,1618.59,8821.16,8758.77,NA,NA,NA,NA,6200,NA,NA,0.000260528490592299,0.0117700620941796,0.247332403785177,NA,0.000114859801422181,0.00215874275410971,0.0117649406167358,0.0116817299454547,NA,NA,NA,NA,0.00826905212282306
"7","LEVIN FOR CONGRESS","C00156612","LEVIN, SANDER M MR","H2MI17023","DEM","MI",9,"midwest","I","Dem Hold",59.7,36.8,"22.9",258314.76,NA,NA,NA,29075.31,28835.31,1142.9,NA,3189.87,16945,2391,NA,NA,NA,NA,3765.17,NA,NA,NA,0.11255767963085,0.111628580573561,0.00442444713573471,NA,0.0123487717078188,0.0655982646907207,0.00925614935824805,NA,NA,NA,NA,0.0145758995730635
"8","VISCLOSKY FOR CONGRESS","C00166504","VISCLOSKY, PETER J.","H4IN01012","DEM","IN",1,"midwest","I","Dem Hold",65.1,34.9,"30.2",1122295.28,95454.86,31760,NA,198798.64,154903,140873.31,NA,13829.76,30231.71,105684.23,NA,534.96,5039,NA,380.8,0.0850532490878871,0.0282991477964694,NA,0.177135771256206,0.138023390778227,0.125522500638156,NA,0.0123227462918671,0.0269373938737406,0.0941679359107703,NA,0.000476665998274536,0.00448990572249399,NA,0.000339304643605023
"9","CITIZENS FOR WATERS","C00167585","WATERS, MAXINE","H4CA23011","DEM","CA",43,"west","I","Dem Hold",77.7,22.3,"55.4",1519352.74,55557.15,NA,NA,NA,145057.75,NA,NA,445.6,69585.29,531231.7,40200,NA,11489,NA,15750,0.0365663275797298,NA,NA,NA,0.0954733855944473,NA,NA,0.000293282783035623,0.0457992987197956,0.349643427766484,0.0264586352738601,NA,0.00756177265326813,NA,0.0103662563572959
"10","DAVIS FOR CONGRESS/FRIENDS OF DAVIS","C00172619","DAVIS, DANNY K","H4IL07037","DEM","IL",7,"midwest","I","Dem Hold",87.6,12.4,"75.2",536602.85,7086,NA,NA,57609.35,73533.7,NA,463.05,NA,4017.41,26741.19,4178,NA,NA,NA,75,0.0132052969901297,NA,NA,0.107359381337613,0.137035612091885,NA,0.000862928700434595,NA,0.00748674741477799,0.049834230287819,0.00778601902692093,NA,NA,NA,0.00013976817305387
