name,candidate,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
LAKE,Lake,H,House,DEM,DEMOCRATIC PARTY,IN,6,6,{06},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,7/26/18,7/26/18,,H8IN06152,2018
CARBAJAL,Carbajal,H,House,DEM,DEMOCRATIC PARTY,CA,24,24,"{24,24,24}","{2016,2018,2020}","{2016,2018,2020}",N,I,Incumbent,4/15/19 21:15,4/15/15,4/15/19,4/15/19,H6CA24303,2020
DAS,Das,H,House,DEM,DEMOCRATIC PARTY,MA,3,3,{03},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,10/8/17,10/8/17,10/8/17,H8MA03130,2018
GREENFIELD,Greenfield,H,House,DEM,DEMOCRATIC PARTY,IA,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,7/3/17,7/10/17,7/10/17,H8IA03157,2018
MAXWELL,Maxwell,H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,1/17/18,1/17/18,1/17/18,H8NY25097,2018
LONG,Long,H,House,DEM,DEMOCRATIC PARTY,WA,3,3,{03},{2018},"{2018,2020}",P,C,Challenger,3/27/19 16:02,11/13/17,10/17/18,10/17/18,H8WA03198,2018
RODRIGUEZ,Rodriguez,H,House,DEM,DEMOCRATIC PARTY,FL,27,27,{27},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,7/6/17,9/27/17,9/27/17,H8FL27052,2018
RICHARDSON,Richardson,H,House,DEM,DEMOCRATIC PARTY,FL,27,27,{27},{2018},"{2018,2020}",P,O,Open seat,3/27/19 16:02,7/19/17,7/19/17,7/19/17,H8FL27060,2018
MATSUI,Matsui,H,House,DEM,DEMOCRATIC PARTY,CA,6,6,"{05,05,05,06,06,06,06,06}","{2006,2008,2010,2012,2014,2016,2018,2020}","{2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2/5/19 21:17,1/25/05,1/7/19,1/7/19,H6CA05195,2020
DESANTIS,Desantis,H,House,REP,REPUBLICAN PARTY,FL,6,6,"{06,06,06,06}","{2012,2014,2016,2018}","{2012,2014,2016,2018}",C,I,Incumbent,5/2/17 21:07,1/31/12,11/28/16,11/28/16,H2FL00292,2018
