name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
MICHELE YOUNG FOR CONGRESS EXPLORATORY COMMITTEE,{2018},"RICHMAN, MAURICE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00641043,H6OH01096,5/22/17,9/14/17,5/22/17
BLANKENSHIP FOR CONGRESS,"{2018,2020}",LISA MCNALLY,H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00659854,H8NC10105,10/31/17,4/10/19,11/20/17
AVIATORS FOR ACTION VICTORY FUND,{2018},"ZAMORE, JUDITH",H,House,T,J,Joint fundraising committee,,,,,DC,C00684613,,8/7/18,12/10/18,8/7/18
ERIN COLLIER FOR CONGRESS,{2018},"HAGGARD, LORA",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00671412,H8NY19256,2/26/18,9/12/18,2/27/18
STEVE SCHIFFMAN FOR CONGRESS 2018 COMMITTEE,"{2018,2020}","GARNER, LARRY EARL MR",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NV,C00650119,H6NV03154,7/12/17,7/15/17,7/15/17
BRISCOE 4 CONGRESS,"{2018,2020}","RAY, LYSA MS.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,CA,C00671784,H8CA47078,3/1/18,4/16/19,3/1/18
FAB FOUR PAC,"{2018,2020}","GUZEL, MURAT",H,House,Q,J,Joint fundraising committee,,,,,PA,C00686576,,8/31/18,4/15/19,8/31/18
ERIC HAFNER DEMOCRAT FOR U.S. CONGRESS OREGON,"{2018,2020}","HAFNER, ERIC",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NJ,C00674895,H8OR03078,3/31/18,5/6/18,3/31/18
COMMITTEE TO ELECT JOE HUNT,"{2018,2020}","SMITH, JASON MR.",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,GA,C00657163,H8GA10163,10/4/17,2/19/19,10/4/17
DAVID BEQUETTE FOR CONGRESS,"{2018,2020}","BEQUETTE, DAVID",H,House,Q,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,IL,C00651794,H8IL12103,7/28/17,2/19/19,1/31/18
SUE SULLIVAN FOR CONGRESS,{2018},"MELE, STEVEN",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,NY,C00640680,H8NY19207,5/17/17,10/30/17,5/17/17
ANDRE POLLARD FOR CONGRESS,"{2018,2020}","POLLARD, ANDRE C",H,House,Q,P,Principal campaign committee,,,IND,INDEPENDENT,GA,C00635177,H8GA06310,3/16/17,2/19/19,3/16/17
