name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
DALE VANNES FOR CONGRESS,"{1992,1994}",SANDRA G TANK,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WI,C00270728,H2WI07024,6/19/92,2/10/94,5/12/93
MICHELE YOUNG FOR CONGRESS EXPLORATORY COMMITTEE,{2018},"RICHMAN, MAURICE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00641043,H6OH01096,5/22/17,9/14/17,5/22/17
SHELDON FOR CONGRESS,{2004},SAMUEL M SHELDON,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,FL,C00400192,H4FL18035,4/29/04,11/23/04,4/29/04
FRIENDS OF PATRICK MULDOON,"{1996,1998,2000,2002}",JOSEPH A WIENCKO JR,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,VA,C00316380,H6VA09037,4/3/96,6/18/02,5/12/98
FRANK KRATOVIL FOR CONGRESS,"{2008,2010,2012}","HARRISON, ELAINE",H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MD,C00434936,H8MD01086,5/10/07,2/13/12,10/28/11
MARK HARRIS FOR CONGRESS,{2016},"LYERLY, ROBERT DOUGHTON JR",H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NC,C00613281,H6NC09200,3/30/16,10/19/16,3/30/16
FRIENDS FOR DAN HOLTZ,"{1996,1998,2000}",DANIEL A HOLTZ,H,House,A,A,Authorized by a candidate,,,REP,REPUBLICAN PARTY,IN,C00306571,H6IN03112,9/21/95,6/29/00,2/20/96
RONALD GREEN FOR CONGRESS,"{2012,2014}",RONALD NEAL GREEN,H,House,T,P,Principal campaign committee,,,,,OR,C00525485,H2OR03105,7/24/12,2/11/13,8/28/12
TEXANS FOR THE CONSTITIUTION AND BOBBY LOCKE,"{1984,1986,1988,1990,1992}",RICHARD PENA,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,TX,C00172460,H2TX23017,11/11/83,4/6/92,12/6/83
COMMITTEE TO ELECT AL GURULE,"{1996,1998}",PATRICK K AVALOS,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CO,C00318352,H6CO03121,5/15/96,2/27/98,7/17/96
CHAD CONDIT FOR CONGRESS,"{2012,2014}",HARRY HERBERT,H,House,T,P,Principal campaign committee,,,,,CA,C00515494,H2CA10152,3/13/12,5/8/13,4/9/12
HATFIELD FOR CONGRESS,"{2008,2010}",RONALD GRAVINO,H,House,T,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,NJ,C00443408,H8NJ07116,1/14/08,2/27/09,1/14/08
LARKIN FOR CONGRESS,"{2008,2010}",FRANCETTA CROOK,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,MI,C00451112,H8MI11221,6/3/08,2/24/09,6/3/08
MR LAWRENCE E TARDUCCI (CMTE),{1982},THOMAS G DEROSA,H,House,T,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,CT,C00158584,H2CT03037,7/6/82,4/6/83,8/17/82
STERN FOR CONGRESS,"{2010,2012,2014,2016,2018}",TIMOTHY JOHN SORENSEN,H,House,A,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,WI,C00469957,H0WI08091,11/9/09,4/26/18,11/9/09
GREG HOWARD FOR CONGRESS,"{2014,2016,2018}",GERALDINE HOWARD,H,House,A,P,Principal campaign committee,,,DEM,DEMOCRATIC PARTY,OH,C00557199,H4OH06082,2/10/14,4/26/18,2/10/14
DARRELL HARTMAN FOR CONGRESS,"{2018,2020}","HARTMAN, DARRELL",H,House,Q,P,Principal campaign committee,,,REP,REPUBLICAN PARTY,OH,C00634428,H8OH13139,3/6/17,4/26/17,3/21/17
PUCCETTI FOR US CONGRESS,"{2014,2016}",GREGORY P PUCCETTI,H,House,T,P,Principal campaign committee,,,,,KY,C00570036,H4KY03244,10/22/14,1/6/15,10/22/14
COMMITTEE TO ELECT CONSIDINE TO CONGRESS,"{1976,1978,1980}",JOHN F. CONSIDINE,H,House,T,A,Authorized by a candidate,,,DFL,DEMOCRATIC-FARM-LABOR,MN,C00060426,H6MN02057,4/7/76,3/20/78,8/16/76
