district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Alabama District 1,Alabama,AL,1,south,Kennedy,H8AL01066,36.8,Byrne,H4AL01123,63.2,GOP Hold,Byrne,H4AL01123,63.2,Kennedy,H8AL01066,36.8,26.4
Alabama District 2,Alabama,AL,2,south,Isner,H8AL02197,38.5,Roby,H0AL02087,61.5,GOP Hold,Roby,H0AL02087,61.5,Isner,H8AL02197,38.5,23
Alabama District 3,Alabama,AL,3,south,Hagan,H8AL03054,36.2,Rogers,H2AL03032,63.8,GOP Hold,Rogers,H2AL03032,63.8,Hagan,H8AL03054,36.2,27.6
Alabama District 4,Alabama,AL,4,south,Auman,H8AL04094,20.1,Aderholt,H6AL04098,79.9,GOP Hold,Aderholt,H6AL04098,79.9,Auman,H8AL04094,20.1,59.8
Alabama District 5,Alabama,AL,5,south,Joffrion,H8AL05190,38.9,Brooks,H0AL05163,61.1,GOP Hold,Brooks,H0AL05163,61.1,Joffrion,H8AL05190,38.9,22.2
Alabama District 6,Alabama,AL,6,south,Kline,H8AL06099,30.8,Palmer,H4AL06098,69.2,GOP Hold,Palmer,H4AL06098,69.2,Kline,H8AL06099,30.8,38.4
Alabama District 7,Alabama,AL,7,south,Sewell,H0AL07086,0,NA,NA,NA,Dem Hold,Sewell,H0AL07086,97.8,NA,NA,NA,97.8
Alaska District 1,Alaska,AK,1,west,NA,NA,NA,Young,H6AK00045,53.3,GOP Hold,Young,H6AK00045,53.3,Galvin,H8AK00140,46.5,6.8
Arizona District 1,Arizona,AZ,1,west,O'Halleran,H6AZ01199,53.8,Rogers,H2AZ09035,46.2,Dem Hold,O'Halleran,H6AZ01199,53.8,Rogers,H2AZ09035,46.2,7.6
Arizona District 2,Arizona,AZ,2,west,Kirkpatrick,H8AZ01104,54.7,Marquez Peterson,H8AZ02185,45.3,Dem Pickup,Kirkpatrick,H8AZ01104,54.7,Marquez Peterson,H8AZ02185,45.3,9.4
Arizona District 3,Arizona,AZ,3,west,Grijalva,H2AZ07070,63.9,Pierson,H8AZ03159,36.1,Dem Hold,Grijalva,H2AZ07070,63.9,Pierson,H8AZ03159,36.1,27.8
Arizona District 4,Arizona,AZ,4,west,Brill,H8AZ04140,30.5,Gosar,H0AZ01259,68.2,GOP Hold,Gosar,H0AZ01259,68.2,Brill,H8AZ04140,30.5,37.7
Arizona District 5,Arizona,AZ,5,west,Greene,H8AZ05154,40.6,Biggs,H6AZ05083,59.4,GOP Hold,Biggs,H6AZ05083,59.4,Greene,H8AZ05154,40.6,18.8
Arizona District 6,Arizona,AZ,6,west,Malik,H8AZ06103,44.8,Schweikert,H4AZ06045,55.2,GOP Hold,Schweikert,H4AZ06045,55.2,Malik,H8AZ06103,44.8,10.4
Arizona District 7,Arizona,AZ,7,west,Gallego,H4AZ07043,85.8,NA,NA,NA,Dem Hold,Gallego,H4AZ07043,85.8,Swing,H6AZ02213,14.2,71.6
Arizona District 8,Arizona,AZ,8,west,Tipirneni,H8AZ08083,44.5,Lesko,H8AZ08158,55.5,GOP Hold,Lesko,H8AZ08158,55.5,Tipirneni,H8AZ08083,44.5,11
Arizona District 9,Arizona,AZ,9,west,Stanton,H8AZ09040,61.1,Ferrara,H8AZ09024,38.9,Dem Hold,Stanton,H8AZ09040,61.1,Ferrara,H8AZ09024,38.9,22.2
Arkansas District 1,Arkansas,AR,1,south,Desai,H8AR01029,28.8,Crawford,H0AR01083,68.9,GOP Hold,Crawford,H0AR01083,68.9,Desai,H8AR01029,28.8,40.1
Arkansas District 2,Arkansas,AR,2,south,Tucker,H8AR02159,45.8,Hill,H4AR02141,52.1,GOP Hold,Hill,H4AR02141,52.1,Tucker,H8AR02159,45.8,6.3
Arkansas District 3,Arkansas,AR,3,south,Mahony,H8AR03074,32.6,Womack,H0AR03055,64.8,GOP Hold,Womack,H0AR03055,64.8,Mahony,H8AR03074,32.6,32.2
Arkansas District 4,Arkansas,AR,4,south,Shamel,H8AR04130,31.3,Westerman,H0AR03055,66.8,GOP Hold,Westerman,H0AR03055,66.8,Shamel,H8AR04130,31.3,35.5
California District 1,California,CA,1,west,Denney,H8CA01257,45.1,LaMalfa,H2CA02142,54.9,GOP Hold,LaMalfa,H2CA02142,54.9,Denney,H8CA01257,45.1,9.8
California District 2,California,CA,2,west,Huffman,H2CA06259,77,Mensing,H4CA02098,23,Dem Hold,Huffman,H2CA06259,77,Mensing,H4CA02098,23,54
California District 3,California,CA,3,west,Garamendi,H0CA10149,58.1,Schaupp,H6CA03067,41.9,Dem Hold,Garamendi,H0CA10149,58.1,Schaupp,H6CA03067,41.9,16.2
California District 4,California,CA,4,west,Morse,H8CA04210,45.9,McClintock,H8CA04152,54.1,GOP Hold,McClintock,H8CA04152,54.1,Morse,H8CA04210,45.9,8.2
California District 5,California,CA,5,west,Thompson,H8CA01109,78.9,NA,NA,NA,Dem Hold,Thompson,H8CA01109,78.9,Mills,H8CA05209,21.1,57.8
California District 6,California,CA,6,west,Matsui,H6CA05195,80.4,NA,NA,NA,Dem Hold,Matsui,H6CA05195,80.4,Jefferson,H8CA06090,19.6,60.8
